"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","645","0.0-0.0","63034df51d918e1e3b97e5ce","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","20716","0.0-1.0-0.0","63034df51d918e1e3b97e5ce","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","24114","0.0-2.0-0.0","63034df51d918e1e3b97e5ce","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","160978","0.0-2.0-1.0","63034df51d918e1e3b97e5ce","E1","batch5","","136864.09999996424","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","161779","0.0-2.0-2.0-0.0","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","165595","0.0-2.0-2.0-1.0","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","3813.800000011921","img/question_1_1.jpeg","3","mat_01","4","1","1","3813.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","166648","0.0-2.0-2.0-0.1","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","169912","0.0-2.0-2.0-1.1","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","3263","img/question_1_2.jpeg","4","mat_02","5","1","1","3263","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","170986","0.0-2.0-2.0-0.2","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","177838","0.0-2.0-2.0-1.2","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","6850.600000023842","img/question_1_3.jpeg","0","mat_03","1","1","1","6850.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","178916","0.0-2.0-2.0-0.3","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","182548","0.0-2.0-2.0-1.3","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","3630.100000023842","img/question_1_4.jpeg","1","mat_04","2","1","1","3630.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","183609","0.0-2.0-2.0-0.4","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","187034","0.0-2.0-2.0-1.4","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","3423.600000023842","img/question_1_5.jpeg","5","mat_05","6","1","1","3423.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","188087","0.0-2.0-2.0-0.5","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","191033","0.0-2.0-2.0-1.5","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","2945.199999988079","img/question_1_6.jpeg","2","mat_06","3","1","1","2945.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","192100","0.0-2.0-2.0-0.6","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","196238","0.0-2.0-2.0-1.6","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","4136.800000011921","img/question_1_7.jpeg","5","mat_07","6","1","1","4136.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","197297","0.0-2.0-2.0-0.7","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","204526","0.0-2.0-2.0-1.7","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","7227.699999988079","img/question_1_8.jpeg","1","mat_08","2","1","1","7227.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","205596","0.0-2.0-2.0-0.8","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","210622","0.0-2.0-2.0-1.8","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","5025.300000011921","img/question_1_9.jpeg","0","mat_09","1","1","1","5025.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","211681","0.0-2.0-2.0-0.9","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","217548","0.0-2.0-2.0-1.9","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","5866.300000011921","img/question_1_10.jpeg","2","mat_10","3","1","1","5866.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","218618","0.0-2.0-2.0-0.10","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","228511","0.0-2.0-2.0-1.10","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","9892.400000035763","img/question_1_11.jpeg","3","mat_11","4","1","1","9892.400000035763","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","229585","0.0-2.0-2.0-0.11","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","267609","0.0-2.0-2.0-1.11","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","38022.80000001192","img/question_1_12.jpeg","4","mat_12","5","1","1","38022.80000001192","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","268678","0.0-2.0-2.0-0.12","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","274509","0.0-2.0-2.0-1.12","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","5829.600000023842","img/question_2_1.jpeg","1","mat_13","2","1","1","5829.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","275573","0.0-2.0-2.0-0.13","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","286294","0.0-2.0-2.0-1.13","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","10719.900000035763","img/question_2_2.jpeg","5","mat_14","6","1","1","10719.900000035763","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","287370","0.0-2.0-2.0-0.14","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","295872","0.0-2.0-2.0-1.14","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","8501","img/question_2_3.jpeg","0","mat_15","1","1","1","8501","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","296938","0.0-2.0-2.0-0.15","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","305822","0.0-2.0-2.0-1.15","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","8883.399999976158","img/question_2_4.jpeg","1","mat_16","2","1","1","8883.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","306893","0.0-2.0-2.0-0.16","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","314792","0.0-2.0-2.0-1.16","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","7897.800000011921","img/question_2_5.jpeg","0","mat_17","1","1","1","7897.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","315850","0.0-2.0-2.0-0.17","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","327255","0.0-2.0-2.0-1.17","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","11404.900000035763","img/question_2_6.jpeg","2","mat_18","3","1","1","11404.900000035763","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","328311","0.0-2.0-2.0-0.18","63034df51d918e1e3b97e5ce","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","342812","0.0-2.0-2.0-1.18","63034df51d918e1e3b97e5ce","E1","batch5","spm_respsonse","14500.5","img/question_2_7.jpeg","4","mat_19","5","1","1","14500.5","","","","","","","","","","","","","","","","","","","","",""
