"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","8553","0.0-0.0","6312503220c83c0fac50a090","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","34270","0.0-1.0-0.0","6312503220c83c0fac50a090","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","41333","0.0-2.0-0.0","6312503220c83c0fac50a090","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","80386","0.0-2.0-1.0-0.0","6312503220c83c0fac50a090","F1","batch6","[{""page_index"":0,""viewing_time"":22801.599999964237},{""page_index"":1,""viewing_time"":16245.100000023842}]","39047.09999996424","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","82279","0.0-2.0-1.0-1.0-0.0","6312503220c83c0fac50a090","F1","batch6","","1891.3999999761581","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","88696","0.0-2.0-1.0-1.0-1.0","6312503220c83c0fac50a090","F1","batch6","","6415","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","90876","0.0-2.0-1.0-1.0-2.0","6312503220c83c0fac50a090","F1","batch6","","2177.699999988079","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","97341","0.0-2.0-1.0-1.0-3.0","6312503220c83c0fac50a090","F1","batch6","","6463.600000023842","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","98494","0.0-2.0-1.0-1.0-4.0","6312503220c83c0fac50a090","F1","batch6","","1151.300000011921","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","100839","0.0-2.0-2.0","6312503220c83c0fac50a090","F1","batch6","","2342.800000011921","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","102950","0.0-2.0-3.0-0.0","6312503220c83c0fac50a090","F1","batch6","","2108.199999988079","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","103973","0.0-2.0-3.0-1.0","6312503220c83c0fac50a090","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","104971","0.0-2.0-3.0-0.1","6312503220c83c0fac50a090","F1","batch6","","996.1999999880791","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","105990","0.0-2.0-3.0-1.1","6312503220c83c0fac50a090","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","106737","0.0-2.0-3.0-0.2","6312503220c83c0fac50a090","F1","batch6","","744.6999999880791","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","107764","0.0-2.0-3.0-1.2","6312503220c83c0fac50a090","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","108899","0.0-2.0-3.0-0.3","6312503220c83c0fac50a090","F1","batch6","","1132.5","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","109910","0.0-2.0-3.0-1.3","6312503220c83c0fac50a090","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","111422","0.0-2.0-3.0-0.4","6312503220c83c0fac50a090","F1","batch6","","1503.6000000238419","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","112443","0.0-2.0-3.0-1.4","6312503220c83c0fac50a090","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","118678","0.0-2.0-4.0","6312503220c83c0fac50a090","F1","batch6","","6232.199999988079","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","119491","0.0-2.0-5.0-0.0","6312503220c83c0fac50a090","F1","batch6","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","120502","0.0-2.0-5.0-1.0","6312503220c83c0fac50a090","F1","batch6","","1008","stim/yes_36_ver_w1_w.png","j","pattern_response","false","f","pattern_58","1008","false","0","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","121817","0.0-2.0-5.0-0.1","6312503220c83c0fac50a090","F1","batch6","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","123505","0.0-2.0-5.0-1.1","6312503220c83c0fac50a090","F1","batch6","","1685.699999988079","stim/no_47_1_b.png","j","pattern_response","true","j","pattern_27","1685.699999988079","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","124832","0.0-2.0-5.0-0.2","6312503220c83c0fac50a090","F1","batch6","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","129480","0.0-2.0-5.0-1.2","6312503220c83c0fac50a090","F1","batch6","","4645.200000047684","stim/no_53_1_b.png","j","pattern_response","true","j","pattern_33","4645.200000047684","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","130808","0.0-2.0-5.0-0.3","6312503220c83c0fac50a090","F1","batch6","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","134613","0.0-2.0-5.0-1.3","6312503220c83c0fac50a090","F1","batch6","","3802.899999976158","stim/no_25_1_b.png","j","pattern_response","true","j","pattern_09","3802.899999976158","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","135922","0.0-2.0-5.0-0.4","6312503220c83c0fac50a090","F1","batch6","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","137564","0.0-2.0-5.0-1.4","6312503220c83c0fac50a090","F1","batch6","","1639.1000000238419","stim/yes_53_ver_b1_b.png","f","pattern_response","true","f","pattern_74","1639.1000000238419","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","138889","0.0-2.0-5.0-0.5","6312503220c83c0fac50a090","F1","batch6","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","140021","0.0-2.0-5.0-1.5","6312503220c83c0fac50a090","F1","batch6","","1129","stim/yes_46_ver_b1_b.png","f","pattern_response","true","f","pattern_68","1129","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","141353","0.0-2.0-5.0-0.6","6312503220c83c0fac50a090","F1","batch6","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","145390","0.0-2.0-5.0-1.6","6312503220c83c0fac50a090","F1","batch6","","4035.800000011921","stim/no_49_2_b.png","j","pattern_response","true","j","pattern_29","4035.800000011921","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","146712","0.0-2.0-5.0-0.7","6312503220c83c0fac50a090","F1","batch6","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","148711","0.0-2.0-5.0-1.7","6312503220c83c0fac50a090","F1","batch6","","1997.6000000238419","stim/no_30_1_b.png","j","pattern_response","true","j","pattern_13","1997.6000000238419","true","7","","","","","","","","","","","","","","","","","","",""
