"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2470","0.0-0.0","631a1f357c56acbb68d5dc14","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14437","0.0-1.0-0.0","631a1f357c56acbb68d5dc14","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","17988","0.0-2.0-0.0","631a1f357c56acbb68d5dc14","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","33778","0.0-2.0-1.0-0.0","631a1f357c56acbb68d5dc14","F1","batch6","[{""page_index"":0,""viewing_time"":9792.800000071526},{""page_index"":1,""viewing_time"":5993.699999928474}]","15787.399999976158","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","35433","0.0-2.0-1.0-1.0-0.0","631a1f357c56acbb68d5dc14","F1","batch6","","1648.7000000476837","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","40639","0.0-2.0-1.0-1.0-1.0","631a1f357c56acbb68d5dc14","F1","batch6","","5201.900000095367","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","42206","0.0-2.0-1.0-1.0-2.0","631a1f357c56acbb68d5dc14","F1","batch6","","1562","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","46472","0.0-2.0-1.0-1.0-3.0","631a1f357c56acbb68d5dc14","F1","batch6","","4262.800000071526","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","47693","0.0-2.0-1.0-1.0-4.0","631a1f357c56acbb68d5dc14","F1","batch6","","1216.8999999761581","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","49216","0.0-2.0-2.0","631a1f357c56acbb68d5dc14","F1","batch6","","1517.1000000238419","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","51477","0.0-2.0-3.0-0.0","631a1f357c56acbb68d5dc14","F1","batch6","","2249.4000000953674","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","52488","0.0-2.0-3.0-1.0","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","53435","0.0-2.0-3.0-0.1","631a1f357c56acbb68d5dc14","F1","batch6","","943.1000000238419","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","54448","0.0-2.0-3.0-1.1","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","55703","0.0-2.0-3.0-0.2","631a1f357c56acbb68d5dc14","F1","batch6","","1251.2999999523163","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","56733","0.0-2.0-3.0-1.2","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","57386","0.0-2.0-3.0-0.3","631a1f357c56acbb68d5dc14","F1","batch6","","649.2999999523163","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","58406","0.0-2.0-3.0-1.3","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","60244","0.0-2.0-3.0-0.4","631a1f357c56acbb68d5dc14","F1","batch6","","1834.1000000238419","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","61261","0.0-2.0-3.0-1.4","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","65893","0.0-2.0-4.0","631a1f357c56acbb68d5dc14","F1","batch6","","4627.199999928474","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","66711","0.0-2.0-5.0-0.0","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","67561","0.0-2.0-5.0-1.0","631a1f357c56acbb68d5dc14","F1","batch6","","845.1999999284744","stim/yes_12_hor_w1_w.png","f","pattern_response","true","f","pattern_42","845.1999999284744","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","68880","0.0-2.0-5.0-0.1","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","70833","0.0-2.0-5.0-1.1","631a1f357c56acbb68d5dc14","F1","batch6","","1950.1000000238419","stim/no_53_1_b.png","f","pattern_response","false","j","pattern_33","1950.1000000238419","false","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","72144","0.0-2.0-5.0-0.2","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","75086","0.0-2.0-5.0-1.2","631a1f357c56acbb68d5dc14","F1","batch6","","2938.2999999523163","stim/yes_63_dia_b1.png","j","pattern_response","false","f","pattern_78","2938.2999999523163","false","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","76415","0.0-2.0-5.0-0.3","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","79162","0.0-2.0-5.0-1.3","631a1f357c56acbb68d5dc14","F1","batch6","","2743","stim/no_67_1.png","j","pattern_response","true","j","pattern_39","2743","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","80478","0.0-2.0-5.0-0.4","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","82262","0.0-2.0-5.0-1.4","631a1f357c56acbb68d5dc14","F1","batch6","","1779.2999999523163","stim/no_36_1_b.png","j","pattern_response","true","j","pattern_17","1779.2999999523163","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","83571","0.0-2.0-5.0-0.5","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","84325","0.0-2.0-5.0-1.5","631a1f357c56acbb68d5dc14","F1","batch6","","749.6000000238419","stim/yes_23_ver_b1.png","f","pattern_response","true","f","pattern_48","749.6000000238419","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","85647","0.0-2.0-5.0-0.6","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","86575","0.0-2.0-5.0-1.6","631a1f357c56acbb68d5dc14","F1","batch6","","924.6999999284744","stim/yes_49_hor_w1_b.png","f","pattern_response","true","f","pattern_70","924.6999999284744","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","87894","0.0-2.0-5.0-0.7","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","90098","0.0-2.0-5.0-1.7","631a1f357c56acbb68d5dc14","F1","batch6","","2200.6999999284744","stim/yes_46_ver_b1_b.png","j","pattern_response","false","f","pattern_68","2200.6999999284744","false","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","91414","0.0-2.0-5.0-0.8","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 9 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","38","92429","0.0-2.0-5.0-1.8","631a1f357c56acbb68d5dc14","F1","batch6","","1009.8000000715256","stim/no_22_1_b.png","j","pattern_response","true","j","pattern_07","1009.8000000715256","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","93751","0.0-2.0-5.0-0.9","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 10 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","40","96030","0.0-2.0-5.0-1.9","631a1f357c56acbb68d5dc14","F1","batch6","","2276","stim/no_45_1_w.png","j","pattern_response","true","j","pattern_25","2276","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","97342","0.0-2.0-5.0-0.10","631a1f357c56acbb68d5dc14","F1","batch6","","null","<p class=block-text>Trial 11 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
