"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","5253","0.0-0.0","631d4876679fad1a9469e76c","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11182","0.0-1.0-0.0","631d4876679fad1a9469e76c","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","13789","0.0-2.0-0.0","631d4876679fad1a9469e76c","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","47247","0.0-2.0-1.0-0.0-0.0","631d4876679fad1a9469e76c","E1","batch5","[{""page_index"":0,""viewing_time"":8224.5},{""page_index"":1,""viewing_time"":3461.9000000953674},{""page_index"":2,""viewing_time"":2362},{""page_index"":3,""viewing_time"":5072.299999952316},{""page_index"":4,""viewing_time"":4411.299999952316},{""page_index"":5,""viewing_time"":7322.100000023842},{""page_index"":6,""viewing_time"":2602.2000000476837}]","33456.5","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","48359","0.0-2.0-1.0-1.0-0.0","631d4876679fad1a9469e76c","E1","batch5","","1111.2999999523163","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","51371","0.0-2.0-1.0-1.0-1.0","631d4876679fad1a9469e76c","E1","batch5","","3011","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","52363","0.0-2.0-1.0-1.0-2.0","631d4876679fad1a9469e76c","E1","batch5","","991.3000000715256","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","54605","0.0-2.0-1.0-1.0-3.0","631d4876679fad1a9469e76c","E1","batch5","","2241.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","55597","0.0-2.0-1.0-1.0-4.0","631d4876679fad1a9469e76c","E1","batch5","","991.3000000715256","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","57399","0.0-2.0-2.0","631d4876679fad1a9469e76c","E1","batch5","","1801.2000000476837","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","59251","0.0-2.0-3.0-0.0","631d4876679fad1a9469e76c","E1","batch5","","1852","tol_practice","","","","tol_peg_2","1852","1852","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1852","","","","","","","","","","","","","","",""
