"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","3605","0.0-0.0","6320fb375d2abadf259b7889","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","15385","0.0-1.0-0.0","6320fb375d2abadf259b7889","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","18547","0.0-2.0-0.0","6320fb375d2abadf259b7889","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","71907","0.0-2.0-1.0-0.0-0.0","6320fb375d2abadf259b7889","B2","batch2","[{""page_index"":0,""viewing_time"":13274.700000047684},{""page_index"":1,""viewing_time"":3988.2999999523163},{""page_index"":2,""viewing_time"":4955.799999952316},{""page_index"":3,""viewing_time"":9548.400000095367},{""page_index"":4,""viewing_time"":6229.5},{""page_index"":5,""viewing_time"":12193.899999856949},{""page_index"":6,""viewing_time"":3168.100000143051}]","53359","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","73045","0.0-2.0-1.0-1.0-0.0","6320fb375d2abadf259b7889","B2","batch2","","1137.4000000953674","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","76497","0.0-2.0-1.0-1.0-1.0","6320fb375d2abadf259b7889","B2","batch2","","3450","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","77468","0.0-2.0-1.0-1.0-2.0","6320fb375d2abadf259b7889","B2","batch2","","969.7999999523163","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","80772","0.0-2.0-1.0-1.0-3.0","6320fb375d2abadf259b7889","B2","batch2","","3303.2999999523163","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","81321","0.0-2.0-1.0-1.0-4.0","6320fb375d2abadf259b7889","B2","batch2","","547.3000001907349","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","84043","0.0-2.0-2.0","6320fb375d2abadf259b7889","B2","batch2","","2720.4000000953674","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","85990","0.0-2.0-3.0-0.0","6320fb375d2abadf259b7889","B2","batch2","","1946","tol_practice","","","","tol_peg_2","1946","1946","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1946","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","87103","0.0-2.0-3.0-1.0","6320fb375d2abadf259b7889","B2","batch2","","1112","tol_practice","","","","tol_peg_3","1112","1112","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1112","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","88117","0.0-2.0-4.0","6320fb375d2abadf259b7889","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","92547","0.0-2.0-5.0-0.0","6320fb375d2abadf259b7889","B2","batch2","","4429","tol_practice","","","","tol_peg_1","4429","4429","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4429","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","93347","0.0-2.0-5.0-1.0","6320fb375d2abadf259b7889","B2","batch2","","798","tol_practice","","","","tol_peg_3","798","798","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","798","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","98079","0.0-2.0-5.1-0.1","6320fb375d2abadf259b7889","B2","batch2","","4731","tol_practice","","","","tol_peg_3","4731","4731","0","[[1,0,0],[3,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","4731","","","","","","","","","","","","","","",""
