"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","4662","0.0-0.0","632f8a93e8ab0c12e145a101","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","37775","0.0-1.0-0.0","632f8a93e8ab0c12e145a101","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","45385","0.0-2.0-0.0","632f8a93e8ab0c12e145a101","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","72724","0.0-2.0-1.0-0.0","632f8a93e8ab0c12e145a101","C3","batch3","[{""page_index"":0,""viewing_time"":12815.800000071526},{""page_index"":1,""viewing_time"":14521.299999952316}]","27337.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","74358","0.0-2.0-1.0-1.0-0.0","632f8a93e8ab0c12e145a101","C3","batch3","","1633.2000000476837","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","77275","0.0-2.0-1.0-1.0-1.0","632f8a93e8ab0c12e145a101","C3","batch3","","2915.100000023842","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","79720","0.0-2.0-1.0-1.0-2.0","632f8a93e8ab0c12e145a101","C3","batch3","","2443.600000023842","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","86156","0.0-2.0-1.0-1.0-3.0","632f8a93e8ab0c12e145a101","C3","batch3","","6434.200000047684","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","87639","0.0-2.0-1.0-1.0-4.0","632f8a93e8ab0c12e145a101","C3","batch3","","1482.8000000715256","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","91240","0.0-2.0-2.0","632f8a93e8ab0c12e145a101","C3","batch3","","3599.600000023842","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","93099","0.0-2.0-3.0-0.0","632f8a93e8ab0c12e145a101","C3","batch3","","1853.6000000238419","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","94126","0.0-2.0-3.0-1.0","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","94967","0.0-2.0-3.0-0.1","632f8a93e8ab0c12e145a101","C3","batch3","","839.6000000238419","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","95992","0.0-2.0-3.0-1.1","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","97679","0.0-2.0-3.0-0.2","632f8a93e8ab0c12e145a101","C3","batch3","","1684.5","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","98711","0.0-2.0-3.0-1.2","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","99797","0.0-2.0-3.0-0.3","632f8a93e8ab0c12e145a101","C3","batch3","","1082.8000000715256","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","100815","0.0-2.0-3.0-1.3","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","101697","0.0-2.0-3.0-0.4","632f8a93e8ab0c12e145a101","C3","batch3","","879.3999999761581","stim/prac_no_16_1.png","f","pattern_practice","false","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","102729","0.0-2.0-3.0-1.4","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","107201","0.0-2.0-4.0","632f8a93e8ab0c12e145a101","C3","batch3","","4470.200000047684","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","108015","0.0-2.0-5.0-0.0","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","108907","0.0-2.0-5.0-1.0","632f8a93e8ab0c12e145a101","C3","batch3","","887.7999999523163","stim/yes_39_hor_w1_w.png","f","pattern_response","true","f","pattern_62","887.7999999523163","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","110235","0.0-2.0-5.0-0.1","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","112398","0.0-2.0-5.0-1.1","632f8a93e8ab0c12e145a101","C3","batch3","","2160","stim/no_51_1.png","j","pattern_response","true","j","pattern_31","2160","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","113707","0.0-2.0-5.0-0.2","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","116669","0.0-2.0-5.0-1.2","632f8a93e8ab0c12e145a101","C3","batch3","","2958.3000000715256","stim/no_33_1_b.png","j","pattern_response","true","j","pattern_15","2958.3000000715256","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","117988","0.0-2.0-5.0-0.3","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","121417","0.0-2.0-5.0-1.3","632f8a93e8ab0c12e145a101","C3","batch3","","3425.2000000476837","stim/yes_51_dia_b1.png","f","pattern_response","true","f","pattern_72","3425.2000000476837","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","122740","0.0-2.0-5.0-0.4","632f8a93e8ab0c12e145a101","C3","batch3","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
