"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","5564","0.0-0.0","6333103245619932bba4c8f6","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","17366","0.0-1.0-0.0","6333103245619932bba4c8f6","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20551","0.0-2.0-0.0","6333103245619932bba4c8f6","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","29015","0.0-2.0-1.0","6333103245619932bba4c8f6","E1","batch5","","8462.40000000596","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","29832","0.0-2.0-2.0-0.0","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","37847","0.0-2.0-2.0-1.0","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","8010.200000017881","img/question_1_1.jpeg","3","mat_01","4","1","1","8010.200000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","38913","0.0-2.0-2.0-0.1","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","42406","0.0-2.0-2.0-1.1","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","3490.699999988079","img/question_1_2.jpeg","4","mat_02","5","1","1","3490.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","43483","0.0-2.0-2.0-0.2","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","49831","0.0-2.0-2.0-1.2","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","6346.0999999940395","img/question_1_3.jpeg","0","mat_03","1","1","1","6346.0999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","50896","0.0-2.0-2.0-0.3","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","55319","0.0-2.0-2.0-1.3","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","4420","img/question_1_4.jpeg","1","mat_04","2","1","1","4420","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","56383","0.0-2.0-2.0-0.4","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","62751","0.0-2.0-2.0-1.4","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","6365.200000017881","img/question_1_5.jpeg","5","mat_05","6","1","1","6365.200000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","63807","0.0-2.0-2.0-0.5","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","68479","0.0-2.0-2.0-1.5","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","4669.699999988079","img/question_1_6.jpeg","2","mat_06","3","1","1","4669.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","69541","0.0-2.0-2.0-0.6","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","74023","0.0-2.0-2.0-1.6","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","4480.0999999940395","img/question_1_7.jpeg","5","mat_07","6","1","1","4480.0999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","75080","0.0-2.0-2.0-0.7","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","81863","0.0-2.0-2.0-1.7","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","6780.800000011921","img/question_1_8.jpeg","1","mat_08","2","1","1","6780.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","82925","0.0-2.0-2.0-0.8","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","88159","0.0-2.0-2.0-1.8","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","5231.5","img/question_1_9.jpeg","0","mat_09","1","1","1","5231.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","89222","0.0-2.0-2.0-0.9","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","97687","0.0-2.0-2.0-1.9","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","8463.300000011921","img/question_1_10.jpeg","2","mat_10","3","1","1","8463.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","98750","0.0-2.0-2.0-0.10","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","116590","0.0-2.0-2.0-1.10","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","17837.30000001192","img/question_1_11.jpeg","4","mat_11","4","0","0","17837.30000001192","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","117642","0.0-2.0-2.0-0.11","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","131207","0.0-2.0-2.0-1.11","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","13562.59999999404","img/question_1_12.jpeg","0","mat_12","5","0","0","13562.59999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","132262","0.0-2.0-2.0-0.12","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","134591","0.0-2.0-2.0-1.12","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","2326.9000000059605","img/question_2_1.jpeg","1","mat_13","2","1","1","2326.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","135652","0.0-2.0-2.0-0.13","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","146543","0.0-2.0-2.0-1.13","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","10888.799999982119","img/question_2_2.jpeg","5","mat_14","6","1","1","10888.799999982119","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","147612","0.0-2.0-2.0-0.14","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","152247","0.0-2.0-2.0-1.14","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","4632.699999988079","img/question_2_3.jpeg","0","mat_15","1","1","1","4632.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","153306","0.0-2.0-2.0-0.15","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","158503","0.0-2.0-2.0-1.15","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","5194.5","img/question_2_4.jpeg","1","mat_16","2","1","1","5194.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","159563","0.0-2.0-2.0-0.16","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","165783","0.0-2.0-2.0-1.16","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","6217.5","img/question_2_5.jpeg","0","mat_17","1","1","1","6217.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","166838","0.0-2.0-2.0-0.17","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","173310","0.0-2.0-2.0-1.17","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","6470.800000011921","img/question_2_6.jpeg","2","mat_18","3","1","1","6470.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","174374","0.0-2.0-2.0-0.18","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","181630","0.0-2.0-2.0-1.18","6333103245619932bba4c8f6","E1","batch5","spm_respsonse","7262.299999982119","img/question_2_7.jpeg","4","mat_19","5","1","1","7262.299999982119","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","182697","0.0-2.0-2.0-0.19","6333103245619932bba4c8f6","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
