"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","8918","0.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21255","0.0-1.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","24686","0.0-2.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","74278","0.0-2.0-1.0-0.0-0.0","6337875a4d0587706d8f2543","F1","batch6","[{""page_index"":0,""viewing_time"":10821},{""page_index"":1,""viewing_time"":6400},{""page_index"":2,""viewing_time"":3456},{""page_index"":3,""viewing_time"":9816},{""page_index"":4,""viewing_time"":6208},{""page_index"":5,""viewing_time"":10047},{""page_index"":6,""viewing_time"":2841}]","49589","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","75429","0.0-2.0-1.0-1.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","1149","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","80636","0.0-2.0-1.0-1.0-1.0","6337875a4d0587706d8f2543","F1","batch6","","5204","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","81789","0.0-2.0-1.0-1.0-2.0","6337875a4d0587706d8f2543","F1","batch6","","1150","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","84437","0.0-2.0-1.0-1.0-3.0","6337875a4d0587706d8f2543","F1","batch6","","2646","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","85500","0.0-2.0-1.0-1.0-4.0","6337875a4d0587706d8f2543","F1","batch6","","1061","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","87724","0.0-2.0-2.0","6337875a4d0587706d8f2543","F1","batch6","","2223","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","90174","0.0-2.0-3.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","2447","tol_practice","","","","tol_peg_2","2447","2447","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2447","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","91636","0.0-2.0-3.0-1.0","6337875a4d0587706d8f2543","F1","batch6","","1462","tol_practice","","","","tol_peg_3","1462","1462","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1462","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","92638","0.0-2.0-4.0","6337875a4d0587706d8f2543","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","95989","0.0-2.0-5.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","3350","tol_practice","","","","tol_peg_1","3350","3350","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3350","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","97733","0.0-2.0-5.0-1.0","6337875a4d0587706d8f2543","F1","batch6","","1743","tol_practice","","","","tol_peg_3","1743","1743","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1743","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","98765","0.0-2.0-5.1-0.1","6337875a4d0587706d8f2543","F1","batch6","","1030","tol_practice","","","","tol_peg_1","1030","1030","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1030","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","99613","0.0-2.0-5.1-1.1","6337875a4d0587706d8f2543","F1","batch6","","847","tol_practice","","","","tol_peg_2","847","847","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","847","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","100614","0.0-2.0-6.0","6337875a4d0587706d8f2543","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","103116","0.0-2.0-7.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","2500","tol_practice","","","","tol_peg_2","2500","2500","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","2500","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","104116","0.0-2.0-7.0-1.0","6337875a4d0587706d8f2543","F1","batch6","","1000","tol_practice","","","","tol_peg_3","1000","1000","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","1000","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","105173","0.0-2.0-7.1-0.1","6337875a4d0587706d8f2543","F1","batch6","","1056","tol_practice","","","","tol_peg_1","1056","1056","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1056","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","106115","0.0-2.0-7.1-1.1","6337875a4d0587706d8f2543","F1","batch6","","942","tol_practice","","","","tol_peg_2","942","942","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","942","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","107117","0.0-2.0-8.0","6337875a4d0587706d8f2543","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","109692","0.0-2.0-9.0","6337875a4d0587706d8f2543","F1","batch6","","2574","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","115677","0.0-2.0-10.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","4983","tol_tohand","","","","tol_peg_1","4983","4983","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","119195","0.0-2.0-10.0-1.0","6337875a4d0587706d8f2543","F1","batch6","","3517","tol_toboard","","","","tol_peg_3","3517","3517","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","120076","0.0-2.0-10.1-0.1","6337875a4d0587706d8f2543","F1","batch6","","880","tol_tohand","","","","tol_peg_2","880","880","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","120916","0.0-2.0-10.1-1.1","6337875a4d0587706d8f2543","F1","batch6","","840","tol_toboard","","","","tol_peg_1","840","840","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","121788","0.0-2.0-10.2-0.2","6337875a4d0587706d8f2543","F1","batch6","","871","tol_tohand","","","","tol_peg_3","871","871","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","122885","0.0-2.0-10.2-1.2","6337875a4d0587706d8f2543","F1","batch6","","1096","tol_toboard","","","","tol_peg_2","1096","1096","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","123887","0.0-2.0-11.0","6337875a4d0587706d8f2543","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","4983","6734","","","","","","","","","",""
"","","","","","html-button-response","31","125299","0.0-2.0-12.0","6337875a4d0587706d8f2543","F1","batch6","","1411","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","133451","0.0-2.0-13.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","8151","tol_tohand","","","","tol_peg_1","8151","8151","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","136820","0.0-2.0-13.0-1.0","6337875a4d0587706d8f2543","F1","batch6","","3369","tol_toboard","","","","tol_peg_3","3369","3369","0","[[1,0,0],[3,0],[2]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","150548","0.0-2.0-13.1-0.1","6337875a4d0587706d8f2543","F1","batch6","","13727","tol_tohand","","","","tol_peg_1","13727","13727","0","[[0,0,0],[3,0],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","151652","0.0-2.0-13.1-1.1","6337875a4d0587706d8f2543","F1","batch6","","1103","tol_toboard","","","","tol_peg_2","1103","1103","0","[[0,0,0],[3,1],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","152532","0.0-2.0-13.2-0.2","6337875a4d0587706d8f2543","F1","batch6","","879","tol_tohand","","","","tol_peg_3","879","879","0","[[0,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","153611","0.0-2.0-13.2-1.2","6337875a4d0587706d8f2543","F1","batch6","","1078","tol_toboard","","","","tol_peg_1","1078","1078","0","[[2,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","154459","0.0-2.0-13.3-0.3","6337875a4d0587706d8f2543","F1","batch6","","847","tol_tohand","","","","tol_peg_2","847","847","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","155252","0.0-2.0-13.3-1.3","6337875a4d0587706d8f2543","F1","batch6","","792","tol_toboard","","","","tol_peg_1","792","792","0","[[2,1,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","155915","0.0-2.0-13.4-0.4","6337875a4d0587706d8f2543","F1","batch6","","663","tol_tohand","","","","tol_peg_2","663","663","0","[[2,1,0],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","156715","0.0-2.0-13.4-1.4","6337875a4d0587706d8f2543","F1","batch6","","799","tol_toboard","","","","tol_peg_1","799","799","0","[[2,1,3],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","poldrack-single-stim","42","157716","0.0-2.0-14.0","6337875a4d0587706d8f2543","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","8151","24267","","","","","","","","","",""
"","","","","","html-button-response","43","158843","0.0-2.0-15.0","6337875a4d0587706d8f2543","F1","batch6","","1126","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>3</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","44","161627","0.0-2.0-16.0-0.0","6337875a4d0587706d8f2543","F1","batch6","","2783","tol_tohand","","","","tol_peg_1","2783","2783","0","[[2,0,0],[0,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","45","163011","0.0-2.0-16.0-1.0","6337875a4d0587706d8f2543","F1","batch6","","1384","tol_toboard","","","","tol_peg_2","1384","1384","0","[[2,0,0],[3,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
