success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,view_history,rt,stimulus,response,task,correct,answer,item,fiar_detect_rt,fiar_detect_correct,total_correct_fiar_detect,post_trial_gap,choices,spm_correct,spm_rt,mouse_click,stim_duration,block_duration,timing_post_trial,current_position,tol_num_moves_made,tol_target,tol_problem_id,tol_rt,key_press,possible_responses,tol_correct,preplanning,tol_rt_per_trial,tol_min_moves
TRUE,FALSE,[],[],[],preload,0,4971,0.0-0.0,6340d2fa46f2d707e146b63b,F1,batch6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,,,,fullscreen,1,29206,0.0-1.0-0.0,6340d2fa46f2d707e146b63b,F1,batch6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,,,,fullscreen,2,32891,0.0-2.0-0.0,6340d2fa46f2d707e146b63b,F1,batch6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,3,61451,0.0-2.0-1.0-0.0,6340d2fa46f2d707e146b63b,F1,batch6,"[{""page_index"":0,""viewing_time"":16779.90000000596},{""page_index"":1,""viewing_time"":11777.399999976158}]",28558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,4,62757,0.0-2.0-1.0-1.0-0.0,6340d2fa46f2d707e146b63b,F1,batch6,,1304.7000000178800,<p class=block-text> Let's answer a few questions <br>,0,pattern_enter_quiz,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,5,67814,0.0-2.0-1.0-1.0-1.0,6340d2fa46f2d707e146b63b,F1,batch6,,5053.799999982120,<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>,1,pattern_quiz,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,6,69613,0.0-2.0-1.0-1.0-2.0,6340d2fa46f2d707e146b63b,F1,batch6,,1796,<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>,0,pattern_quiz_feedback,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,7,75224,0.0-2.0-1.0-1.0-3.0,6340d2fa46f2d707e146b63b,F1,batch6,,5609,"<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>",0,pattern_quiz,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,8,76126,0.0-2.0-1.0-1.0-4.0,6340d2fa46f2d707e146b63b,F1,batch6,,899.6000000238420,<p class = block-text>Correct! </p>,0,pattern_quiz_feedback,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,9,78056,0.0-2.0-2.0,6340d2fa46f2d707e146b63b,F1,batch6,,1926.9000000059600,"<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>",0,pattern_enter_practice,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,image-keyboard-response,10,79547,0.0-2.0-3.0-0.0,6340d2fa46f2d707e146b63b,F1,batch6,,1485.300000011920,stim/prac_no_16_1.png,j,pattern_practice,TRUE,j,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,11,80564,0.0-2.0-3.0-1.0,6340d2fa46f2d707e146b63b,F1,batch6,,null,"<p style=""font-size:30px;color:green;"">Correct!</p>",null,pattern_feedback,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,image-keyboard-response,12,81287,0.0-2.0-3.0-0.1,6340d2fa46f2d707e146b63b,F1,batch6,,720.5999999940400,stim/prac_yes_16_ver_w1.png,f,pattern_practice,TRUE,f,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,13,82309,0.0-2.0-3.0-1.1,6340d2fa46f2d707e146b63b,F1,batch6,,null,"<p style=""font-size:30px;color:green;"">Correct!</p>",null,pattern_feedback,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,image-keyboard-response,14,83011,0.0-2.0-3.0-0.2,6340d2fa46f2d707e146b63b,F1,batch6,,699.7999999821190,stim/prac_yes_18_hor_w1.png,f,pattern_practice,TRUE,f,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,15,84034,0.0-2.0-3.0-1.2,6340d2fa46f2d707e146b63b,F1,batch6,,null,"<p style=""font-size:30px;color:green;"">Correct!</p>",null,pattern_feedback,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,image-keyboard-response,16,84880,0.0-2.0-3.0-0.3,6340d2fa46f2d707e146b63b,F1,batch6,,844.0999999940400,stim/prac_yes_20_dia_b1.png,j,pattern_practice,FALSE,f,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,17,85894,0.0-2.0-3.0-1.3,6340d2fa46f2d707e146b63b,F1,batch6,,null,"<p style=""font-size:30px;color:red;"">Wrong.</p>",null,pattern_feedback,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,image-keyboard-response,18,86802,0.0-2.0-3.0-0.4,6340d2fa46f2d707e146b63b,F1,batch6,,905.8000000119210,stim/prac_no_18_1.png,j,pattern_practice,TRUE,j,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,19,87827,0.0-2.0-3.0-1.4,6340d2fa46f2d707e146b63b,F1,batch6,,null,"<p style=""font-size:30px;color:green;"">Correct!</p>",null,pattern_feedback,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-button-response,20,92028,0.0-2.0-4.0,6340d2fa46f2d707e146b63b,F1,batch6,,4198,"<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>",0,pattern_enter_official_trials,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,21,92841,0.0-2.0-5.0-0.0,6340d2fa46f2d707e146b63b,F1,batch6,,null,<p class=block-text>Trial 1 out of 78</p>,null,pattern_show_trial_num,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,image-keyboard-response,22,93634,0.0-2.0-5.0-1.0,6340d2fa46f2d707e146b63b,F1,batch6,,789.7000000178810,stim/yes_49_hor_w1_b.png,f,pattern_response,TRUE,f,pattern_70,789.7000000178810,TRUE,1,,,,,,,,,,,,,,,,,,,
