"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1093","0.0-0.0","6347481705fc940bcda1c8e1","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7107","0.0-1.0-0.0","6347481705fc940bcda1c8e1","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","10405","0.0-2.0-0.0","6347481705fc940bcda1c8e1","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","24574","0.0-2.0-1.0-0.0","6347481705fc940bcda1c8e1","D2","batch4","[{""page_index"":0,""viewing_time"":8439.799999952316},{""page_index"":1,""viewing_time"":5727.700000047684}]","14167.799999952316","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","25956","0.0-2.0-1.0-1.0-0.0","6347481705fc940bcda1c8e1","D2","batch4","","1381.1999999284744","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","28296","0.0-2.0-1.0-1.0-1.0","6347481705fc940bcda1c8e1","D2","batch4","","2338.399999976158","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","28856","0.0-2.0-1.0-1.0-2.0","6347481705fc940bcda1c8e1","D2","batch4","","558.6000000238419","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","32445","0.0-2.0-1.0-1.0-3.0","6347481705fc940bcda1c8e1","D2","batch4","","3588.4000000953674","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","33129","0.0-2.0-1.0-1.0-4.0","6347481705fc940bcda1c8e1","D2","batch4","","682.1999999284744","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","34098","0.0-2.0-2.0","6347481705fc940bcda1c8e1","D2","batch4","","968.1000000238419","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","35184","0.0-2.0-3.0-0.0","6347481705fc940bcda1c8e1","D2","batch4","","1082.6000000238419","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","36199","0.0-2.0-3.0-1.0","6347481705fc940bcda1c8e1","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","37400","0.0-2.0-3.0-0.1","6347481705fc940bcda1c8e1","D2","batch4","","1200.2000000476837","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","38410","0.0-2.0-3.0-1.1","6347481705fc940bcda1c8e1","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","39214","0.0-2.0-3.0-0.2","6347481705fc940bcda1c8e1","D2","batch4","","802.8000000715256","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","40225","0.0-2.0-3.0-1.2","6347481705fc940bcda1c8e1","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","40777","0.0-2.0-3.0-0.3","6347481705fc940bcda1c8e1","D2","batch4","","550.7999999523163","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","41787","0.0-2.0-3.0-1.3","6347481705fc940bcda1c8e1","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","42843","0.0-2.0-3.0-0.4","6347481705fc940bcda1c8e1","D2","batch4","","1051.8999999761581","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","43857","0.0-2.0-3.0-1.4","6347481705fc940bcda1c8e1","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","55717","0.0-2.0-4.0","6347481705fc940bcda1c8e1","D2","batch4","","11858.600000023842","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
