"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","25791","0.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","35783","0.0-1.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","40502","0.0-2.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","123401","0.0-2.0-1.0-0.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","[{""page_index"":0,""viewing_time"":10927.699999999255},{""page_index"":1,""viewing_time"":10566.699999999255},{""page_index"":2,""viewing_time"":11171.60000000149},{""page_index"":3,""viewing_time"":15624},{""page_index"":4,""viewing_time"":14659.599999997765},{""page_index"":5,""viewing_time"":15817.800000000745},{""page_index"":6,""viewing_time"":4123.60000000149}]","82892.29999999702","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","124822","0.0-2.0-1.0-1.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","1413.6000000014901","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","132374","0.0-2.0-1.0-1.0-1.0","6365593d8f35fcb8f68d982a","C3","batch3","","7547.70000000298","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","134557","0.0-2.0-1.0-1.0-2.0","6365593d8f35fcb8f68d982a","C3","batch3","","2176.599999997765","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","138178","0.0-2.0-1.0-1.0-3.0","6365593d8f35fcb8f68d982a","C3","batch3","","3615.599999997765","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","139350","0.0-2.0-1.0-1.0-4.0","6365593d8f35fcb8f68d982a","C3","batch3","","1166.3999999985099","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","146201","0.0-2.0-2.0","6365593d8f35fcb8f68d982a","C3","batch3","","6845.300000000745","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","150850","0.0-2.0-3.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","4641","tol_practice","","","","tol_peg_2","4641","4641","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4641","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","151668","0.0-2.0-3.0-1.0","6365593d8f35fcb8f68d982a","C3","batch3","","813","tol_practice","","","","tol_peg_3","813","813","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","813","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","152678","0.0-2.0-4.0","6365593d8f35fcb8f68d982a","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","159086","0.0-2.0-5.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","6402","tol_practice","","","","tol_peg_1","6402","6402","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","6402","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","160514","0.0-2.0-5.0-1.0","6365593d8f35fcb8f68d982a","C3","batch3","","1426","tol_practice","","","","tol_peg_3","1426","1426","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1426","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","161183","0.0-2.0-5.1-0.1","6365593d8f35fcb8f68d982a","C3","batch3","","664","tol_practice","","","","tol_peg_1","664","664","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","664","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","161848","0.0-2.0-5.1-1.1","6365593d8f35fcb8f68d982a","C3","batch3","","662","tol_practice","","","","tol_peg_2","662","662","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","662","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","162854","0.0-2.0-6.0","6365593d8f35fcb8f68d982a","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","166344","0.0-2.0-7.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","3485","tol_practice","","","","tol_peg_2","3485","3485","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3485","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","167027","0.0-2.0-7.0-1.0","6365593d8f35fcb8f68d982a","C3","batch3","","678","tol_practice","","","","tol_peg_3","678","678","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","678","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","168082","0.0-2.0-7.1-0.1","6365593d8f35fcb8f68d982a","C3","batch3","","1051","tol_practice","","","","tol_peg_1","1051","1051","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","1051","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","168512","0.0-2.0-7.1-1.1","6365593d8f35fcb8f68d982a","C3","batch3","","427","tol_practice","","","","tol_peg_2","427","427","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","427","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","169517","0.0-2.0-8.0","6365593d8f35fcb8f68d982a","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","172855","0.0-2.0-9.0","6365593d8f35fcb8f68d982a","C3","batch3","","3332.89999999851","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","181505","0.0-2.0-10.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","7645","tol_tohand","","","","tol_peg_1","7645","7645","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","183540","0.0-2.0-10.0-1.0","6365593d8f35fcb8f68d982a","C3","batch3","","2033","tol_toboard","","","","tol_peg_3","2033","2033","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","184315","0.0-2.0-10.1-0.1","6365593d8f35fcb8f68d982a","C3","batch3","","772","tol_tohand","","","","tol_peg_2","772","772","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","184890","0.0-2.0-10.1-1.1","6365593d8f35fcb8f68d982a","C3","batch3","","573","tol_toboard","","","","tol_peg_1","573","573","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","185430","0.0-2.0-10.2-0.2","6365593d8f35fcb8f68d982a","C3","batch3","","539","tol_tohand","","","","tol_peg_3","539","539","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","185815","0.0-2.0-10.2-1.2","6365593d8f35fcb8f68d982a","C3","batch3","","382","tol_toboard","","","","tol_peg_2","382","382","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","186819","0.0-2.0-11.0","6365593d8f35fcb8f68d982a","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","7645","8956","","","","","","","","","",""
"","","","","","html-button-response","31","188233","0.0-2.0-12.0","6365593d8f35fcb8f68d982a","C3","batch3","","1408.1000000014901","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","206257","0.0-2.0-13.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","18019","tol_tohand","","","","tol_peg_1","18019","18019","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","206766","0.0-2.0-13.0-1.0","6365593d8f35fcb8f68d982a","C3","batch3","","508","tol_toboard","","","","tol_peg_2","508","508","0","[[1,0,0],[3,2],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","207448","0.0-2.0-13.1-0.1","6365593d8f35fcb8f68d982a","C3","batch3","","679","tol_tohand","","","","tol_peg_1","679","679","0","[[0,0,0],[3,2],[0]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","209366","0.0-2.0-13.1-1.1","6365593d8f35fcb8f68d982a","C3","batch3","","1915","tol_toboard","","","","tol_peg_3","1915","1915","0","[[0,0,0],[3,2],[1]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","210568","0.0-2.0-13.2-0.2","6365593d8f35fcb8f68d982a","C3","batch3","","1200","tol_tohand","","","","tol_peg_2","1200","1200","0","[[0,0,0],[3,0],[1]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","211626","0.0-2.0-13.2-1.2","6365593d8f35fcb8f68d982a","C3","batch3","","1056","tol_toboard","","","","tol_peg_1","1056","1056","0","[[2,0,0],[3,0],[1]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","212450","0.0-2.0-13.3-0.3","6365593d8f35fcb8f68d982a","C3","batch3","","821","tol_tohand","","","","tol_peg_3","821","821","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","212847","0.0-2.0-13.3-1.3","6365593d8f35fcb8f68d982a","C3","batch3","","394","tol_toboard","","","","tol_peg_1","394","394","0","[[2,1,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","213301","0.0-2.0-13.4-0.4","6365593d8f35fcb8f68d982a","C3","batch3","","451","tol_tohand","","","","tol_peg_2","451","451","0","[[2,1,0],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","213639","0.0-2.0-13.4-1.4","6365593d8f35fcb8f68d982a","C3","batch3","","336","tol_toboard","","","","tol_peg_1","336","336","0","[[2,1,3],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","poldrack-single-stim","42","214643","0.0-2.0-14.0","6365593d8f35fcb8f68d982a","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","18019","21170","","","","","","","","","",""
"","","","","","html-button-response","43","215996","0.0-2.0-15.0","6365593d8f35fcb8f68d982a","C3","batch3","","1348.2000000029802","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>3</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","44","226033","0.0-2.0-16.0-0.0","6365593d8f35fcb8f68d982a","C3","batch3","","10034","tol_tohand","","","","tol_peg_1","10034","10034","0","[[2,0,0],[0,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","45","226533","0.0-2.0-16.0-1.0","6365593d8f35fcb8f68d982a","C3","batch3","","498","tol_toboard","","","","tol_peg_2","498","498","0","[[2,0,0],[3,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","46","227166","0.0-2.0-16.1-0.1","6365593d8f35fcb8f68d982a","C3","batch3","","629","tol_tohand","","","","tol_peg_1","629","629","0","[[0,0,0],[3,0],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","47","227632","0.0-2.0-16.1-1.1","6365593d8f35fcb8f68d982a","C3","batch3","","462","tol_toboard","","","","tol_peg_2","462","462","0","[[0,0,0],[3,2],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","48","228192","0.0-2.0-16.2-0.2","6365593d8f35fcb8f68d982a","C3","batch3","","558","tol_tohand","","","","tol_peg_3","558","558","0","[[0,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","49","228641","0.0-2.0-16.2-1.2","6365593d8f35fcb8f68d982a","C3","batch3","","445","tol_toboard","","","","tol_peg_1","445","445","0","[[1,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","50","229073","0.0-2.0-16.3-0.3","6365593d8f35fcb8f68d982a","C3","batch3","","430","tol_tohand","","","","tol_peg_2","430","430","0","[[1,0,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","51","229325","0.0-2.0-16.3-1.3","6365593d8f35fcb8f68d982a","C3","batch3","","248","tol_toboard","","","","tol_peg_1","248","248","0","[[1,2,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","poldrack-single-stim","52","230330","0.0-2.0-17.0","6365593d8f35fcb8f68d982a","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","10034","11651","","","","","","","","","",""
"","","","","","html-button-response","53","231267","0.0-2.0-18.0","6365593d8f35fcb8f68d982a","C3","batch3","","932.3000000007451","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>4</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
