"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","4312","0.0-0.0","636598a7a571403968d03bf2","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","34589","0.0-1.0-0.0","636598a7a571403968d03bf2","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","268771","0.0-2.0-0.0","636598a7a571403968d03bf2","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","586086","0.0-2.0-1.0","636598a7a571403968d03bf2","F1","batch6","","317311","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","586889","0.0-2.0-2.0-0.0","636598a7a571403968d03bf2","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","594706","0.0-2.0-2.0-1.0","636598a7a571403968d03bf2","F1","batch6","spm_respsonse","7808","img/question_1_1.jpeg","3","mat_01","4","1","1","7808","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","595779","0.0-2.0-2.0-0.1","636598a7a571403968d03bf2","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","599750","0.0-2.0-2.0-1.1","636598a7a571403968d03bf2","F1","batch6","spm_respsonse","3969","img/question_1_2.jpeg","4","mat_02","5","1","1","3969","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","600824","0.0-2.0-2.0-0.2","636598a7a571403968d03bf2","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","606520","0.0-2.0-2.0-1.2","636598a7a571403968d03bf2","F1","batch6","spm_respsonse","5693","img/question_1_3.jpeg","0","mat_03","1","1","1","5693","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","607591","0.0-2.0-2.0-0.3","636598a7a571403968d03bf2","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","610927","0.0-2.0-2.0-1.3","636598a7a571403968d03bf2","F1","batch6","spm_respsonse","3332","img/question_1_4.jpeg","1","mat_04","2","1","1","3332","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","612001","0.0-2.0-2.0-0.4","636598a7a571403968d03bf2","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","617650","0.0-2.0-2.0-1.4","636598a7a571403968d03bf2","F1","batch6","spm_respsonse","5646","img/question_1_5.jpeg","5","mat_05","6","1","1","5646","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","618711","0.0-2.0-2.0-0.5","636598a7a571403968d03bf2","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","622864","0.0-2.0-2.0-1.5","636598a7a571403968d03bf2","F1","batch6","spm_respsonse","4152","img/question_1_6.jpeg","2","mat_06","3","1","1","4152","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","623929","0.0-2.0-2.0-0.6","636598a7a571403968d03bf2","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","634069","0.0-2.0-2.0-1.6","636598a7a571403968d03bf2","F1","batch6","spm_respsonse","10136","img/question_1_7.jpeg","5","mat_07","6","1","1","10136","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","635126","0.0-2.0-2.0-0.7","636598a7a571403968d03bf2","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","640903","0.0-2.0-2.0-1.7","636598a7a571403968d03bf2","F1","batch6","spm_respsonse","5774","img/question_1_8.jpeg","1","mat_08","2","1","1","5774","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","641965","0.0-2.0-2.0-0.8","636598a7a571403968d03bf2","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
