"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1984","0.0-0.0","6392555a9838cc65a9c829ef","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","13882","0.0-1.0-0.0","6392555a9838cc65a9c829ef","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","17057","0.0-2.0-0.0","6392555a9838cc65a9c829ef","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","143776","0.0-2.0-1.0-0.0-0.0","6392555a9838cc65a9c829ef","D2","batch4","[{""page_index"":0,""viewing_time"":12612},{""page_index"":1,""viewing_time"":9545.700000047684},{""page_index"":2,""viewing_time"":8643.599999904633},{""page_index"":3,""viewing_time"":22931.600000023842},{""page_index"":4,""viewing_time"":6770.800000071526},{""page_index"":5,""viewing_time"":59491.59999990463},{""page_index"":6,""viewing_time"":6724.5}]","126720.5","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","145057","0.0-2.0-1.0-1.0-0.0","6392555a9838cc65a9c829ef","D2","batch4","","1279.2000000476837","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","154611","0.0-2.0-1.0-1.0-1.0","6392555a9838cc65a9c829ef","D2","batch4","","9551.5","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","157053","0.0-2.0-1.0-1.0-2.0","6392555a9838cc65a9c829ef","D2","batch4","","2439","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","162104","0.0-2.0-1.0-1.0-3.0","6392555a9838cc65a9c829ef","D2","batch4","","5049.200000047684","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","163152","0.0-2.0-1.0-1.0-4.0","6392555a9838cc65a9c829ef","D2","batch4","","1046","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","165304","0.0-2.0-2.0","6392555a9838cc65a9c829ef","D2","batch4","","2149.399999976158","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","167194","0.0-2.0-3.0-0.0","6392555a9838cc65a9c829ef","D2","batch4","","1886","tol_practice","","","","tol_peg_2","1886","1886","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1886","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","168594","0.0-2.0-3.0-1.0","6392555a9838cc65a9c829ef","D2","batch4","","1399","tol_practice","","","","tol_peg_3","1399","1399","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1399","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","169598","0.0-2.0-4.0","6392555a9838cc65a9c829ef","D2","batch4","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","172585","0.0-2.0-5.0-0.0","6392555a9838cc65a9c829ef","D2","batch4","","2985","tol_practice","","","","tol_peg_1","2985","2985","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","2985","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","174181","0.0-2.0-5.0-1.0","6392555a9838cc65a9c829ef","D2","batch4","","1595","tol_practice","","","","tol_peg_3","1595","1595","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1595","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","175334","0.0-2.0-5.1-0.1","6392555a9838cc65a9c829ef","D2","batch4","","1151","tol_practice","","","","tol_peg_3","1151","1151","0","[[1,0,0],[3,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","1151","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","176245","0.0-2.0-5.1-1.1","6392555a9838cc65a9c829ef","D2","batch4","","909","tol_practice","","","","tol_peg_1","909","909","0","[[1,2,0],[3,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","909","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","182777","0.0-2.0-5.2-0.2","6392555a9838cc65a9c829ef","D2","batch4","","6530","tol_practice","","","","tol_peg_1","6530","6530","0","[[1,0,0],[3,0],[0]]","4","[[0,0,0],[3,1],[2]]","practice","6530","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","183961","0.0-2.0-5.2-1.2","6392555a9838cc65a9c829ef","D2","batch4","","1183","tol_practice","","","","tol_peg_3","1183","1183","0","[[1,0,0],[3,0],[2]]","4","[[0,0,0],[3,1],[2]]","practice","1183","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","188098","0.0-2.0-5.3-0.3","6392555a9838cc65a9c829ef","D2","batch4","","4135","tol_practice","","","","tol_peg_3","4135","4135","0","[[1,0,0],[3,0],[0]]","5","[[0,0,0],[3,1],[2]]","practice","4135","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","189856","0.0-2.0-5.3-1.3","6392555a9838cc65a9c829ef","D2","batch4","","1756","tol_practice","","","","tol_peg_2","1756","1756","0","[[1,0,0],[3,2],[0]]","5","[[0,0,0],[3,1],[2]]","practice","1756","","","","","","","","","","","","","","",""
