"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1429","0.0-0.0","63bb4ea524b89495f4bad8af","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","47334","0.0-1.0-0.0","63bb4ea524b89495f4bad8af","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","51686","0.0-2.0-0.0","63bb4ea524b89495f4bad8af","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","131672","0.0-2.0-1.0-0.0-0.0","63bb4ea524b89495f4bad8af","A3","batch1","[{""page_index"":0,""viewing_time"":18927.89999999851},{""page_index"":1,""viewing_time"":9979.80000000447},{""page_index"":2,""viewing_time"":4440.69999999553},{""page_index"":3,""viewing_time"":10510.20000000298},{""page_index"":4,""viewing_time"":14869.39999999851},{""page_index"":5,""viewing_time"":16880.20000000298},{""page_index"":6,""viewing_time"":4376.69999999553}]","79985.39999999851","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","133026","0.0-2.0-1.0-1.0-0.0","63bb4ea524b89495f4bad8af","A3","batch1","","1351.2000000029802","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","137384","0.0-2.0-1.0-1.0-1.0","63bb4ea524b89495f4bad8af","A3","batch1","","4356.39999999851","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","139021","0.0-2.0-1.0-1.0-2.0","63bb4ea524b89495f4bad8af","A3","batch1","","1630.8000000044703","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","143460","0.0-2.0-1.0-1.0-3.0","63bb4ea524b89495f4bad8af","A3","batch1","","4437.10000000149","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","144504","0.0-2.0-1.0-1.0-4.0","63bb4ea524b89495f4bad8af","A3","batch1","","1042.3999999985099","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","146433","0.0-2.0-2.0","63bb4ea524b89495f4bad8af","A3","batch1","","1927.1000000014901","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","148664","0.0-2.0-3.0-0.0","63bb4ea524b89495f4bad8af","A3","batch1","","2228","tol_practice","","","","tol_peg_2","2228","2228","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2228","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","150183","0.0-2.0-3.0-1.0","63bb4ea524b89495f4bad8af","A3","batch1","","1516","tol_practice","","","","tol_peg_3","1516","1516","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1516","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","151191","0.0-2.0-4.0","63bb4ea524b89495f4bad8af","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","155810","0.0-2.0-5.0-0.0","63bb4ea524b89495f4bad8af","A3","batch1","","4619","tol_practice","","","","tol_peg_1","4619","4619","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4619","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","157481","0.0-2.0-5.0-1.0","63bb4ea524b89495f4bad8af","A3","batch1","","1669","tol_practice","","","","tol_peg_3","1669","1669","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1669","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","158504","0.0-2.0-5.1-0.1","63bb4ea524b89495f4bad8af","A3","batch1","","1022","tol_practice","","","","tol_peg_1","1022","1022","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1022","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","159778","0.0-2.0-5.1-1.1","63bb4ea524b89495f4bad8af","A3","batch1","","1272","tol_practice","","","","tol_peg_2","1272","1272","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1272","","","","","","","","","","","","","","",""
