"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","5400","0.0-0.0","63c173a52e1ba7078e5fd2c0","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18969","0.0-1.0-0.0","63c173a52e1ba7078e5fd2c0","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","24479","0.0-2.0-0.0","63c173a52e1ba7078e5fd2c0","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","65867","0.0-2.0-1.0-0.0","63c173a52e1ba7078e5fd2c0","D2","batch4","[{""page_index"":0,""viewing_time"":32967.70000000298},{""page_index"":1,""viewing_time"":8415.20000000298}]","41383.60000000894","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","67547","0.0-2.0-1.0-1.0-0.0","63c173a52e1ba7078e5fd2c0","D2","batch4","","1677","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","74291","0.0-2.0-1.0-1.0-1.0","63c173a52e1ba7078e5fd2c0","D2","batch4","","6738.9000000059605","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","76331","0.0-2.0-1.0-1.0-2.0","63c173a52e1ba7078e5fd2c0","D2","batch4","","2033.7999999970198","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","83868","0.0-2.0-1.0-1.0-3.0","63c173a52e1ba7078e5fd2c0","D2","batch4","","7533.79999999702","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","85051","0.0-2.0-1.0-1.0-4.0","63c173a52e1ba7078e5fd2c0","D2","batch4","","1179.199999988079","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","88730","0.0-2.0-2.0","63c173a52e1ba7078e5fd2c0","D2","batch4","","3674.1000000089407","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
