"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","2566","0.0-0.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","24484","0.0-1.0-0.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","39186","0.0-2.0-0.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","78473","0.0-2.0-1.0-0.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","[{""page_index"":0,""viewing_time"":16806.900000095367},{""page_index"":1,""viewing_time"":22478.799999713898}]","39285.90000009537","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","81143","0.0-2.0-1.0-1.0-0.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","2669.699999809265","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","87518","0.0-2.0-1.0-1.0-1.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","6373.599999904633","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","91470","0.0-2.0-1.0-1.0-2.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","3951.300000190735","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","98903","0.0-2.0-1.0-1.0-3.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","7432","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","100050","0.0-2.0-1.0-1.0-4.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","1146.1999998092651","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","103553","0.0-2.0-2.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","3501.4000000953674","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","108189","0.0-2.0-3.0-0.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","4634.400000095367","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","109217","0.0-2.0-3.0-1.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","111447","0.0-2.0-3.0-0.1","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","2229","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","112464","0.0-2.0-3.0-1.1","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","113348","0.0-2.0-3.0-0.2","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","883","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","114374","0.0-2.0-3.0-1.2","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","115607","0.0-2.0-3.0-0.3","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","1232.5","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","116625","0.0-2.0-3.0-1.3","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","117517","0.0-2.0-3.0-0.4","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","890.5","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","118534","0.0-2.0-3.0-1.4","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","145485","0.0-2.0-4.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","26950.099999904633","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","146286","0.0-2.0-5.0-0.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","148522","0.0-2.0-5.0-1.0","63cff40ebc71e5fcdcf3f8dc","F1","batch6","","2235.2000002861023","stim/yes_46_ver_b1_b.png","f","pattern_response","true","f","pattern_68","2235.2000002861023","true","1","","","","","","","","","","","","","","","","","","",""
