"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1027","0.0-0.0","63d143b0a7426abcb7905b7e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8287","0.0-1.0-0.0","63d143b0a7426abcb7905b7e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12031","0.0-2.0-0.0","63d143b0a7426abcb7905b7e","B2","batch2","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","19118","0.0-2.0-1.0","63d143b0a7426abcb7905b7e","B2","batch2","","7087","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","19923","0.0-2.0-2.0-0.0","63d143b0a7426abcb7905b7e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","22986","0.0-2.0-2.0-1.0","63d143b0a7426abcb7905b7e","B2","batch2","spm_respsonse","3055","img/question_1_1.jpeg","3","mat_01","4","1","1","3055","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","24051","0.0-2.0-2.0-0.1","63d143b0a7426abcb7905b7e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","25872","0.0-2.0-2.0-1.1","63d143b0a7426abcb7905b7e","B2","batch2","spm_respsonse","1819","img/question_1_2.jpeg","4","mat_02","5","1","1","1819","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","26940","0.0-2.0-2.0-0.2","63d143b0a7426abcb7905b7e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","29638","0.0-2.0-2.0-1.2","63d143b0a7426abcb7905b7e","B2","batch2","spm_respsonse","2697","img/question_1_3.jpeg","0","mat_03","1","1","1","2697","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","30699","0.0-2.0-2.0-0.3","63d143b0a7426abcb7905b7e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","32664","0.0-2.0-2.0-1.3","63d143b0a7426abcb7905b7e","B2","batch2","spm_respsonse","1963","img/question_1_4.jpeg","1","mat_04","2","1","1","1963","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","33734","0.0-2.0-2.0-0.4","63d143b0a7426abcb7905b7e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","36746","0.0-2.0-2.0-1.4","63d143b0a7426abcb7905b7e","B2","batch2","spm_respsonse","3011","img/question_1_5.jpeg","5","mat_05","6","1","1","3011","","","","","","","","","","","","","","","","","","","","",""
