"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","4230","0.0-0.0","63d1ac235a42c0eee8e90ff9","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","66194","0.0-1.0-0.0","63d1ac235a42c0eee8e90ff9","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","71150","0.0-2.0-0.0","63d1ac235a42c0eee8e90ff9","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","160680","0.0-2.0-1.0-0.0-0.0","63d1ac235a42c0eee8e90ff9","D2","batch4","[{""page_index"":0,""viewing_time"":20520.600000023842},{""page_index"":1,""viewing_time"":7487.199999988079},{""page_index"":2,""viewing_time"":6528.400000035763},{""page_index"":3,""viewing_time"":17122.5},{""page_index"":4,""viewing_time"":10413.799999952316},{""page_index"":5,""viewing_time"":23342.80000001192},{""page_index"":6,""viewing_time"":4112.5}]","89528.20000004768","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","162515","0.0-2.0-1.0-1.0-0.0","63d1ac235a42c0eee8e90ff9","D2","batch4","","1833.800000011921","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","167760","0.0-2.0-1.0-1.0-1.0","63d1ac235a42c0eee8e90ff9","D2","batch4","","5241.599999964237","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","169437","0.0-2.0-1.0-1.0-2.0","63d1ac235a42c0eee8e90ff9","D2","batch4","","1675.300000011921","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","173575","0.0-2.0-1.0-1.0-3.0","63d1ac235a42c0eee8e90ff9","D2","batch4","","4136.800000011921","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","174741","0.0-2.0-1.0-1.0-4.0","63d1ac235a42c0eee8e90ff9","D2","batch4","","1165.199999988079","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","177489","0.0-2.0-2.0","63d1ac235a42c0eee8e90ff9","D2","batch4","","2746","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
