"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2921","0.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","5521","0.0-1.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","9188","0.0-2.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","50296","0.0-2.0-1.0-0.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","[{""page_index"":0,""viewing_time"":10402.800000000745},{""page_index"":1,""viewing_time"":10968.599999999627},{""page_index"":2,""viewing_time"":2927.7999999988824},{""page_index"":3,""viewing_time"":3096.300000000745},{""page_index"":2,""viewing_time"":2064},{""page_index"":3,""viewing_time"":1367.9000000003725},{""page_index"":4,""viewing_time"":3719.699999999255},{""page_index"":5,""viewing_time"":3720.0999999996275},{""page_index"":6,""viewing_time"":2840}]","41107.59999999963","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","52280","0.0-2.0-1.0-1.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1983","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","56688","0.0-2.0-1.0-1.0-1.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","4406.199999999255","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","57624","0.0-2.0-1.0-1.0-2.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","935","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","60352","0.0-2.0-1.0-1.0-3.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","2726.699999999255","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","60968","0.0-2.0-1.0-1.0-4.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","614.8000000007451","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","62080","0.0-2.0-2.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1110.699999999255","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","66346","0.0-2.0-3.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","4265","tol_practice","","","","tol_peg_2","4265","4265","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4265","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","67951","0.0-2.0-3.0-1.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1603","tol_practice","","","","tol_peg_3","1603","1603","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1603","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","68965","0.0-2.0-4.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","76160","0.0-2.0-5.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","7195","tol_practice","","","","tol_peg_1","7195","7195","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","7195","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","77992","0.0-2.0-5.0-1.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1831","tol_practice","","","","tol_peg_3","1831","1831","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1831","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","79407","0.0-2.0-5.1-0.1","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1414","tol_practice","","","","tol_peg_1","1414","1414","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1414","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","80352","0.0-2.0-5.1-1.1","63d1b93d9abc8c4b40e2d92f","C3","batch3","","943","tol_practice","","","","tol_peg_2","943","943","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","943","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","81354","0.0-2.0-6.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","84496","0.0-2.0-7.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","3141","tol_practice","","","","tol_peg_2","3141","3141","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3141","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","85793","0.0-2.0-7.0-1.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1296","tol_practice","","","","tol_peg_3","1296","1296","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","1296","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","86456","0.0-2.0-7.1-0.1","63d1b93d9abc8c4b40e2d92f","C3","batch3","","662","tol_practice","","","","tol_peg_1","662","662","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","662","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","87016","0.0-2.0-7.1-1.1","63d1b93d9abc8c4b40e2d92f","C3","batch3","","560","tol_practice","","","","tol_peg_2","560","560","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","560","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","88021","0.0-2.0-8.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","91584","0.0-2.0-9.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","3561.7999999988824","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","97576","0.0-2.0-10.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","4984","tol_tohand","","","","tol_peg_2","4984","4984","0","[[1,2,0],[0,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","99312","0.0-2.0-10.0-1.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1735","tol_toboard","","","","tol_peg_3","1735","1735","0","[[1,2,0],[0,0],[3]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","100119","0.0-2.0-10.1-0.1","63d1b93d9abc8c4b40e2d92f","C3","batch3","","806","tol_tohand","","","","tol_peg_1","806","806","0","[[1,0,0],[0,0],[3]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","100783","0.0-2.0-10.1-1.1","63d1b93d9abc8c4b40e2d92f","C3","batch3","","664","tol_toboard","","","","tol_peg_2","664","664","0","[[1,0,0],[2,0],[3]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","101400","0.0-2.0-10.2-0.2","63d1b93d9abc8c4b40e2d92f","C3","batch3","","615","tol_tohand","","","","tol_peg_3","615","615","0","[[1,0,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","102104","0.0-2.0-10.2-1.2","63d1b93d9abc8c4b40e2d92f","C3","batch3","","704","tol_toboard","","","","tol_peg_1","704","704","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","103106","0.0-2.0-11.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","4984","6405","","","","","","","","","",""
"","","","","","html-button-response","31","104312","0.0-2.0-12.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1204.699999999255","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","106841","0.0-2.0-13.0-0.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","2529","tol_tohand","","","","tol_peg_1","2529","2529","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","115168","0.0-2.0-13.0-1.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","8327","tol_toboard","","","","tol_peg_3","8327","8327","0","[[1,0,0],[3,0],[2]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","116512","0.0-2.0-13.1-0.1","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1342","tol_tohand","","","","tol_peg_1","1342","1342","0","[[0,0,0],[3,0],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","118224","0.0-2.0-13.1-1.1","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1711","tol_toboard","","","","tol_peg_2","1711","1711","0","[[0,0,0],[3,1],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","119279","0.0-2.0-13.2-0.2","63d1b93d9abc8c4b40e2d92f","C3","batch3","","1054","tol_tohand","","","","tol_peg_3","1054","1054","0","[[0,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","119944","0.0-2.0-13.2-1.2","63d1b93d9abc8c4b40e2d92f","C3","batch3","","663","tol_toboard","","","","tol_peg_1","663","663","0","[[2,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","120496","0.0-2.0-13.3-0.3","63d1b93d9abc8c4b40e2d92f","C3","batch3","","551","tol_tohand","","","","tol_peg_2","551","551","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","121017","0.0-2.0-13.3-1.3","63d1b93d9abc8c4b40e2d92f","C3","batch3","","520","tol_toboard","","","","tol_peg_1","520","520","0","[[2,1,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","121656","0.0-2.0-13.4-0.4","63d1b93d9abc8c4b40e2d92f","C3","batch3","","639","tol_tohand","","","","tol_peg_2","639","639","0","[[2,1,0],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","122288","0.0-2.0-13.4-1.4","63d1b93d9abc8c4b40e2d92f","C3","batch3","","631","tol_toboard","","","","tol_peg_1","631","631","0","[[2,1,3],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","poldrack-single-stim","42","123295","0.0-2.0-14.0","63d1b93d9abc8c4b40e2d92f","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","2529","6115","","","","","","","","","",""
