"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1691","0.0-0.0","63d1c1b521f75a8a9f14160f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11315","0.0-1.0-0.0","63d1c1b521f75a8a9f14160f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16269","0.0-2.0-0.0","63d1c1b521f75a8a9f14160f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","30418","0.0-2.0-1.0-0.0","63d1c1b521f75a8a9f14160f","D2","batch4","[{""page_index"":0,""viewing_time"":9978.5},{""page_index"":1,""viewing_time"":4170.200000047684}]","14148.900000095367","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","32015","0.0-2.0-1.0-1.0-0.0","63d1c1b521f75a8a9f14160f","D2","batch4","","1596","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","34316","0.0-2.0-1.0-1.0-1.0","63d1c1b521f75a8a9f14160f","D2","batch4","","2299.4000000953674","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","35916","0.0-2.0-1.0-1.0-2.0","63d1c1b521f75a8a9f14160f","D2","batch4","","1598.0999999046326","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","40083","0.0-2.0-1.0-1.0-3.0","63d1c1b521f75a8a9f14160f","D2","batch4","","4166.799999952316","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","41367","0.0-2.0-1.0-1.0-4.0","63d1c1b521f75a8a9f14160f","D2","batch4","","1282.5","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","44134","0.0-2.0-2.0","63d1c1b521f75a8a9f14160f","D2","batch4","","2765.600000143051","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","46273","0.0-2.0-3.0-0.0","63d1c1b521f75a8a9f14160f","D2","batch4","","2131.100000143051","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","47282","0.0-2.0-3.0-1.0","63d1c1b521f75a8a9f14160f","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","50121","0.0-2.0-3.0-0.1","63d1c1b521f75a8a9f14160f","D2","batch4","","2837.7000000476837","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","51130","0.0-2.0-3.0-1.1","63d1c1b521f75a8a9f14160f","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","52855","0.0-2.0-3.0-0.2","63d1c1b521f75a8a9f14160f","D2","batch4","","1723.9000000953674","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
