"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","4081","0.0-0.0","63d42c21dc6f4d60e34cc337","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16902","0.0-1.0-0.0","63d42c21dc6f4d60e34cc337","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21858","0.0-2.0-0.0","63d42c21dc6f4d60e34cc337","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","37859","0.0-2.0-1.0","63d42c21dc6f4d60e34cc337","E1","batch5","","15997.100000023842","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","38680","0.0-2.0-2.0-0.0","63d42c21dc6f4d60e34cc337","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","43171","0.0-2.0-2.0-1.0","63d42c21dc6f4d60e34cc337","E1","batch5","spm_respsonse","4481.5","img/question_1_1.jpeg","3","mat_01","4","1","1","4481.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","44240","0.0-2.0-2.0-0.1","63d42c21dc6f4d60e34cc337","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","46874","0.0-2.0-2.0-1.1","63d42c21dc6f4d60e34cc337","E1","batch5","spm_respsonse","2630.8000000715256","img/question_1_2.jpeg","4","mat_02","5","1","1","2630.8000000715256","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","47939","0.0-2.0-2.0-0.2","63d42c21dc6f4d60e34cc337","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","51137","0.0-2.0-2.0-1.2","63d42c21dc6f4d60e34cc337","E1","batch5","spm_respsonse","3194.3000000715256","img/question_1_3.jpeg","0","mat_03","1","1","1","3194.3000000715256","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","52203","0.0-2.0-2.0-0.3","63d42c21dc6f4d60e34cc337","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","55255","0.0-2.0-2.0-1.3","63d42c21dc6f4d60e34cc337","E1","batch5","spm_respsonse","3048.2000000476837","img/question_1_4.jpeg","1","mat_04","2","1","1","3048.2000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","56337","0.0-2.0-2.0-0.4","63d42c21dc6f4d60e34cc337","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
