"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","6381","0.0-0.0","63d461ae668907ea6006f43f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11815","0.0-1.0-0.0","63d461ae668907ea6006f43f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","14567","0.0-2.0-0.0","63d461ae668907ea6006f43f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","38767","0.0-2.0-1.0-0.0-0.0","63d461ae668907ea6006f43f","D2","batch4","[{""page_index"":0,""viewing_time"":13294.800000071526},{""page_index"":1,""viewing_time"":4104.199999928474},{""page_index"":2,""viewing_time"":1456.1000000238419},{""page_index"":3,""viewing_time"":952.1000000238419},{""page_index"":4,""viewing_time"":1695.8999999761581},{""page_index"":5,""viewing_time"":816.2999999523163},{""page_index"":6,""viewing_time"":1879.6000000238419}]","24199.200000047684","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","39391","0.0-2.0-1.0-1.0-0.0","63d461ae668907ea6006f43f","D2","batch4","","623.8999999761581","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","39703","0.0-2.0-1.0-1.0-1.0","63d461ae668907ea6006f43f","D2","batch4","","310.3000000715256","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","43831","0.0-2.0-1.0-1.0-2.0","63d461ae668907ea6006f43f","D2","batch4","","4128.299999952316","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","46199","0.0-2.0-1.0-1.0-3.0","63d461ae668907ea6006f43f","D2","batch4","","2367.100000023842","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","46711","0.0-2.0-1.0-1.0-4.0","63d461ae668907ea6006f43f","D2","batch4","","511.59999990463257","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","47495","0.0-2.0-1.0-2.0-0.0","63d461ae668907ea6006f43f","D2","batch4","","782.9000000953674","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","51287","0.0-2.0-1.1-0.1-0.1","63d461ae668907ea6006f43f","D2","batch4","[{""page_index"":0,""viewing_time"":735.5999999046326},{""page_index"":1,""viewing_time"":440},{""page_index"":2,""viewing_time"":280.3000000715256},{""page_index"":3,""viewing_time"":223.10000002384186},{""page_index"":4,""viewing_time"":448.7999999523163},{""page_index"":5,""viewing_time"":408.10000002384186},{""page_index"":6,""viewing_time"":1255.7999999523163}]","3791.7999999523163","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","51959","0.0-2.0-1.1-1.1-0.1","63d461ae668907ea6006f43f","D2","batch4","","671.6000000238419","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","53503","0.0-2.0-1.1-1.1-1.1","63d461ae668907ea6006f43f","D2","batch4","","1543.3999999761581","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","53983","0.0-2.0-1.1-1.1-2.1","63d461ae668907ea6006f43f","D2","batch4","","479.39999997615814","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","54751","0.0-2.0-1.1-1.1-3.1","63d461ae668907ea6006f43f","D2","batch4","","767.3999999761581","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","55175","0.0-2.0-1.1-1.1-4.1","63d461ae668907ea6006f43f","D2","batch4","","424","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
