"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","23483","0.0-0.0","63d5a05179cf91a6e6a652cb","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","44606","0.0-1.0-0.0","63d5a05179cf91a6e6a652cb","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","48777","0.0-2.0-0.0","63d5a05179cf91a6e6a652cb","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","80535","0.0-2.0-1.0-0.0","63d5a05179cf91a6e6a652cb","A3","batch1","[{""page_index"":0,""viewing_time"":14389.200000017881},{""page_index"":1,""viewing_time"":17366.90000000596}]","31756.70000001788","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","82636","0.0-2.0-1.0-1.0-0.0","63d5a05179cf91a6e6a652cb","A3","batch1","","2098.4000000059605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","85702","0.0-2.0-1.0-1.0-1.0","63d5a05179cf91a6e6a652cb","A3","batch1","","3063.600000023842","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","86619","0.0-2.0-1.0-1.0-2.0","63d5a05179cf91a6e6a652cb","A3","batch1","","914","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","91469","0.0-2.0-1.0-1.0-3.0","63d5a05179cf91a6e6a652cb","A3","batch1","","4848.699999988079","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","92368","0.0-2.0-1.0-1.0-4.0","63d5a05179cf91a6e6a652cb","A3","batch1","","897.5","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","94035","0.0-2.0-2.0","63d5a05179cf91a6e6a652cb","A3","batch1","","1664.0999999940395","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","99491","0.0-2.0-3.0-0.0","63d5a05179cf91a6e6a652cb","A3","batch1","","5450.299999982119","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","100504","0.0-2.0-3.0-1.0","63d5a05179cf91a6e6a652cb","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","101962","0.0-2.0-3.0-0.1","63d5a05179cf91a6e6a652cb","A3","batch1","","1455.5999999940395","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","102984","0.0-2.0-3.0-1.1","63d5a05179cf91a6e6a652cb","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","104185","0.0-2.0-3.0-0.2","63d5a05179cf91a6e6a652cb","A3","batch1","","1198","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
