"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1465","0.0-0.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","29751","0.0-1.0-0.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","34099","0.0-2.0-0.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","125065","0.0-2.0-1.0-0.0-0.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","[{""page_index"":0,""viewing_time"":17909.399999976158},{""page_index"":1,""viewing_time"":8270.899999976158},{""page_index"":2,""viewing_time"":7157.300000071526},{""page_index"":3,""viewing_time"":10782},{""page_index"":4,""viewing_time"":14298.899999976158},{""page_index"":5,""viewing_time"":26450.100000023842},{""page_index"":6,""viewing_time"":6095.699999928474}]","90964.5","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","127132","0.0-2.0-1.0-1.0-0.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","2065.100000023842","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","130341","0.0-2.0-1.0-1.0-1.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","3207.2999999523163","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","135488","0.0-2.0-1.0-1.0-2.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","5145.5","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","139013","0.0-2.0-1.0-1.0-3.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","3524.2999999523163","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","140304","0.0-2.0-1.0-1.0-4.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","1289.8999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","144877","0.0-2.0-1.0-2.0-0.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","4571.100000023842","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","156549","0.0-2.0-1.1-0.1-0.1","63d6b8b3cc8e5c3debfd9676","E1","batch5","[{""page_index"":0,""viewing_time"":2292},{""page_index"":1,""viewing_time"":1067.3999999761581},{""page_index"":2,""viewing_time"":579.7999999523163},{""page_index"":3,""viewing_time"":1234.4000000953674},{""page_index"":4,""viewing_time"":1073.2999999523163},{""page_index"":5,""viewing_time"":863},{""page_index"":6,""viewing_time"":4561.299999952316}]","11671.600000023842","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","158078","0.0-2.0-1.1-1.1-0.1","63d6b8b3cc8e5c3debfd9676","E1","batch5","","1527.6000000238419","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","161078","0.0-2.0-1.1-1.1-1.1","63d6b8b3cc8e5c3debfd9676","E1","batch5","","2999.2000000476837","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","163438","0.0-2.0-1.1-1.1-2.1","63d6b8b3cc8e5c3debfd9676","E1","batch5","","2358.8000000715256","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","170737","0.0-2.0-1.1-1.1-3.1","63d6b8b3cc8e5c3debfd9676","E1","batch5","","7298.100000023842","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","176268","0.0-2.0-1.1-1.1-4.1","63d6b8b3cc8e5c3debfd9676","E1","batch5","","5529.5","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","182945","0.0-2.0-2.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","6676.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","185762","0.0-2.0-3.0-0.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","2815","tol_practice","","","","tol_peg_2","2815","2815","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2815","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","187557","0.0-2.0-3.0-1.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","1794","tol_practice","","","","tol_peg_3","1794","1794","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1794","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","188571","0.0-2.0-4.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","193725","0.0-2.0-5.0-0.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","5152","tol_practice","","","","tol_peg_1","5152","5152","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","5152","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","195171","0.0-2.0-5.0-1.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","1446","tol_practice","","","","tol_peg_3","1446","1446","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1446","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","196362","0.0-2.0-5.1-0.1","63d6b8b3cc8e5c3debfd9676","E1","batch5","","1189","tol_practice","","","","tol_peg_1","1189","1189","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1189","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","197742","0.0-2.0-5.1-1.1","63d6b8b3cc8e5c3debfd9676","E1","batch5","","1379","tol_practice","","","","tol_peg_2","1379","1379","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1379","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","24","198750","0.0-2.0-6.0","63d6b8b3cc8e5c3debfd9676","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
