"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","12486","0.0-0.0","63d6e456a473cdecf6b9ce84","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","24640","0.0-1.0-0.0","63d6e456a473cdecf6b9ce84","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29554","0.0-2.0-0.0","63d6e456a473cdecf6b9ce84","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","176424","0.0-2.0-1.0-0.0-0.0","63d6e456a473cdecf6b9ce84","D2","batch4","[{""page_index"":0,""viewing_time"":27102.399999976158},{""page_index"":1,""viewing_time"":21970.199999928474},{""page_index"":2,""viewing_time"":11229.700000047684},{""page_index"":3,""viewing_time"":12722.399999976158},{""page_index"":4,""viewing_time"":11174},{""page_index"":5,""viewing_time"":52028.200000047684},{""page_index"":6,""viewing_time"":10641.399999976158}]","146868.79999995232","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","178040","0.0-2.0-1.0-1.0-0.0","63d6e456a473cdecf6b9ce84","D2","batch4","","1615.2000000476837","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","186915","0.0-2.0-1.0-1.0-1.0","63d6e456a473cdecf6b9ce84","D2","batch4","","8872.5","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","190858","0.0-2.0-1.0-1.0-2.0","63d6e456a473cdecf6b9ce84","D2","batch4","","3940.899999976158","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","195760","0.0-2.0-1.0-1.0-3.0","63d6e456a473cdecf6b9ce84","D2","batch4","","4901","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","196965","0.0-2.0-1.0-1.0-4.0","63d6e456a473cdecf6b9ce84","D2","batch4","","1210.3999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","198472","0.0-2.0-1.0-2.0-0.0","63d6e456a473cdecf6b9ce84","D2","batch4","","1504.2000000476837","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
