"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","14252","0.0-0.0","63d7b8fd20b4612bc2949c29","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","26538","0.0-1.0-0.0","63d7b8fd20b4612bc2949c29","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","32473","0.0-2.0-0.0","63d7b8fd20b4612bc2949c29","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","135779","0.0-2.0-1.0-0.0-0.0","63d7b8fd20b4612bc2949c29","A3","batch1","[{""page_index"":0,""viewing_time"":26409.200000000186},{""page_index"":1,""viewing_time"":7392},{""page_index"":2,""viewing_time"":4487.899999999907},{""page_index"":3,""viewing_time"":16536.399999999907},{""page_index"":4,""viewing_time"":19991.899999999907},{""page_index"":5,""viewing_time"":21888.100000000093},{""page_index"":6,""viewing_time"":6600}]","103305.6000000001","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","136907","0.0-2.0-1.0-1.0-0.0","63d7b8fd20b4612bc2949c29","A3","batch1","","1127.5","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","140267","0.0-2.0-1.0-1.0-1.0","63d7b8fd20b4612bc2949c29","A3","batch1","","3359.2999999998137","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","141443","0.0-2.0-1.0-1.0-2.0","63d7b8fd20b4612bc2949c29","A3","batch1","","1175.3999999999069","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","145539","0.0-2.0-1.0-1.0-3.0","63d7b8fd20b4612bc2949c29","A3","batch1","","4095.899999999907","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","146347","0.0-2.0-1.0-1.0-4.0","63d7b8fd20b4612bc2949c29","A3","batch1","","807","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","148467","0.0-2.0-2.0","63d7b8fd20b4612bc2949c29","A3","batch1","","2119.100000000093","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
