"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","4281","0.0-0.0","63e50a77fb746e1db8a9e223","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21518","0.0-1.0-0.0","63e50a77fb746e1db8a9e223","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","25053","0.0-2.0-0.0","63e50a77fb746e1db8a9e223","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","45448","0.0-2.0-1.0-0.0","63e50a77fb746e1db8a9e223","B2","batch2","[{""page_index"":0,""viewing_time"":2312.9000000059605},{""page_index"":1,""viewing_time"":7877.199999988079},{""page_index"":0,""viewing_time"":5304.800000011921},{""page_index"":1,""viewing_time"":4898.899999976158}]","20394.09999999404","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","46403","0.0-2.0-1.0-1.0-0.0","63e50a77fb746e1db8a9e223","B2","batch2","","954.3000000119209","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","51558","0.0-2.0-1.0-1.0-1.0","63e50a77fb746e1db8a9e223","B2","batch2","","5154.200000017881","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","53000","0.0-2.0-1.0-1.0-2.0","63e50a77fb746e1db8a9e223","B2","batch2","","1441.2999999821186","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","57746","0.0-2.0-1.0-1.0-3.0","63e50a77fb746e1db8a9e223","B2","batch2","","4745.0999999940395","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","58393","0.0-2.0-1.0-1.0-4.0","63e50a77fb746e1db8a9e223","B2","batch2","","646.4000000059605","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","58596","0.0-2.0-2.0","63e50a77fb746e1db8a9e223","B2","batch2","","201.90000000596046","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","61804","0.0-2.0-3.0-0.0","63e50a77fb746e1db8a9e223","B2","batch2","","3206.0999999940395","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","62823","0.0-2.0-3.0-1.0","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","64468","0.0-2.0-3.0-0.1","63e50a77fb746e1db8a9e223","B2","batch2","","1644.0999999940395","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","65490","0.0-2.0-3.0-1.1","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","67516","0.0-2.0-3.0-0.2","63e50a77fb746e1db8a9e223","B2","batch2","","2025.2000000178814","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","68524","0.0-2.0-3.0-1.2","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","69532","0.0-2.0-3.0-0.3","63e50a77fb746e1db8a9e223","B2","batch2","","1007.1999999880791","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","70555","0.0-2.0-3.0-1.3","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","71295","0.0-2.0-3.0-0.4","63e50a77fb746e1db8a9e223","B2","batch2","","736.1999999880791","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","72321","0.0-2.0-3.0-1.4","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","75044","0.0-2.0-4.0","63e50a77fb746e1db8a9e223","B2","batch2","","2722","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","75846","0.0-2.0-5.0-0.0","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","77452","0.0-2.0-5.0-1.0","63e50a77fb746e1db8a9e223","B2","batch2","","1605.2000000178814","stim/no_22_1_b.png","j","pattern_response","true","j","pattern_07","1605.2000000178814","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","78770","0.0-2.0-5.0-0.1","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","80076","0.0-2.0-5.0-1.1","63e50a77fb746e1db8a9e223","B2","batch2","","1305.199999988079","stim/yes_23_ver_b1.png","j","pattern_response","false","f","pattern_48","1305.199999988079","false","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","81404","0.0-2.0-5.0-0.2","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","82352","0.0-2.0-5.0-1.2","63e50a77fb746e1db8a9e223","B2","batch2","","950.5","stim/yes_26_dia_w2_w.png","f","pattern_response","true","f","pattern_50","950.5","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","83667","0.0-2.0-5.0-0.3","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","84688","0.0-2.0-5.0-1.3","63e50a77fb746e1db8a9e223","B2","batch2","","1020.6999999880791","stim/yes_12_hor_w1_w.png","f","pattern_response","true","f","pattern_42","1020.6999999880791","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","86022","0.0-2.0-5.0-0.4","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","87673","0.0-2.0-5.0-1.4","63e50a77fb746e1db8a9e223","B2","batch2","","1649.5","stim/no_28_2.png","j","pattern_response","true","j","pattern_11","1649.5","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","89002","0.0-2.0-5.0-0.5","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","93505","0.0-2.0-5.0-1.5","63e50a77fb746e1db8a9e223","B2","batch2","","4501.100000023842","stim/no_51_1.png","j","pattern_response","true","j","pattern_31","4501.100000023842","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","94820","0.0-2.0-5.0-0.6","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","96072","0.0-2.0-5.0-1.6","63e50a77fb746e1db8a9e223","B2","batch2","","1250.9000000059605","stim/yes_39_hor_w1_w.png","f","pattern_response","true","f","pattern_62","1250.9000000059605","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","97402","0.0-2.0-5.0-0.7","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","98473","0.0-2.0-5.0-1.7","63e50a77fb746e1db8a9e223","B2","batch2","","1070","stim/no_12_1.png","j","pattern_response","true","j","pattern_01","1070","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","99793","0.0-2.0-5.0-0.8","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 9 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","38","105209","0.0-2.0-5.0-1.8","63e50a77fb746e1db8a9e223","B2","batch2","","5414.4000000059605","stim/no_43_2_b.png","j","pattern_response","true","j","pattern_23","5414.4000000059605","true","8","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","106521","0.0-2.0-5.0-0.9","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 10 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","40","110976","0.0-2.0-5.0-1.9","63e50a77fb746e1db8a9e223","B2","batch2","","4454.0999999940395","stim/no_58_1_w.png","j","pattern_response","true","j","pattern_35","4454.0999999940395","true","9","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","112287","0.0-2.0-5.0-0.10","63e50a77fb746e1db8a9e223","B2","batch2","","null","<p class=block-text>Trial 11 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
