"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","8196","0.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","24027","0.0-1.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","26828","0.0-2.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","87273","0.0-2.0-1.0-0.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","[{""page_index"":0,""viewing_time"":10946.30000000447},{""page_index"":1,""viewing_time"":12235},{""page_index"":2,""viewing_time"":12542.59999999404},{""page_index"":3,""viewing_time"":6443.80000000447},{""page_index"":4,""viewing_time"":8825.10000000149},{""page_index"":5,""viewing_time"":6965.0999999940395},{""page_index"":6,""viewing_time"":2483.8000000044703}]","60442.20000000298","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","88224","0.0-2.0-1.0-1.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","","949.6000000014901","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","94513","0.0-2.0-1.0-1.0-1.0","63e51f09c02713c63a9fa186","A3","batch1","","6287.80000000447","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","95596","0.0-2.0-1.0-1.0-2.0","63e51f09c02713c63a9fa186","A3","batch1","","1081.1000000014901","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","100126","0.0-2.0-1.0-1.0-3.0","63e51f09c02713c63a9fa186","A3","batch1","","4527.80000000447","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","100768","0.0-2.0-1.0-1.0-4.0","63e51f09c02713c63a9fa186","A3","batch1","","640.8000000044703","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","102162","0.0-2.0-2.0","63e51f09c02713c63a9fa186","A3","batch1","","1392.8999999985099","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","107248","0.0-2.0-3.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","","5083","tol_practice","","","","tol_peg_2","5083","5083","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","5083","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","109388","0.0-2.0-3.0-1.0","63e51f09c02713c63a9fa186","A3","batch1","","2138","tol_practice","","","","tol_peg_2","2138","2138","0","[[1,2,0],[3,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2138","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","12","111688","0.0-2.0-3.1-0.1","63e51f09c02713c63a9fa186","A3","batch1","","2299","tol_practice","","","","tol_peg_2","2299","2299","0","[[1,2,0],[0,0],[0]]","2","[[1,2,0],[0,0],[3]]","practice","2299","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","13","112707","0.0-2.0-3.1-1.1","63e51f09c02713c63a9fa186","A3","batch1","","1018","tol_practice","","","","tol_peg_3","1018","1018","0","[[1,2,0],[0,0],[3]]","2","[[1,2,0],[0,0],[3]]","practice","1018","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","14","113709","0.0-2.0-4.0","63e51f09c02713c63a9fa186","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","15","123897","0.0-2.0-5.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","","10186","tol_practice","","","","tol_peg_1","10186","10186","0","[[1,0,0],[3,0],[0]]","3","[[0,0,0],[3,1],[2]]","practice","10186","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","126115","0.0-2.0-5.0-1.0","63e51f09c02713c63a9fa186","A3","batch1","","2218","tol_practice","","","","tol_peg_3","2218","2218","0","[[1,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","2218","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","126747","0.0-2.0-5.1-0.1","63e51f09c02713c63a9fa186","A3","batch1","","632","tol_practice","","","","tol_peg_1","632","632","0","[[0,0,0],[3,0],[2]]","4","[[0,0,0],[3,1],[2]]","practice","632","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","127945","0.0-2.0-5.1-1.1","63e51f09c02713c63a9fa186","A3","batch1","","1196","tol_practice","","","","tol_peg_2","1196","1196","0","[[0,0,0],[3,1],[2]]","4","[[0,0,0],[3,1],[2]]","practice","1196","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","19","128957","0.0-2.0-6.0","63e51f09c02713c63a9fa186","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","20","136818","0.0-2.0-7.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","","7860","tol_practice","","","","tol_peg_2","7860","7860","0","[[1,2,0],[0,0],[0]]","5","[[1,0,0],[2,0],[3]]","practice","7860","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","137800","0.0-2.0-7.0-1.0","63e51f09c02713c63a9fa186","A3","batch1","","981","tol_practice","","","","tol_peg_3","981","981","0","[[1,2,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","981","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","138855","0.0-2.0-7.1-0.1","63e51f09c02713c63a9fa186","A3","batch1","","1054","tol_practice","","","","tol_peg_1","1054","1054","0","[[1,0,0],[0,0],[3]]","6","[[1,0,0],[2,0],[3]]","practice","1054","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","139645","0.0-2.0-7.1-1.1","63e51f09c02713c63a9fa186","A3","batch1","","790","tol_practice","","","","tol_peg_2","790","790","0","[[1,0,0],[2,0],[3]]","6","[[1,0,0],[2,0],[3]]","practice","790","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","24","140659","0.0-2.0-8.0","63e51f09c02713c63a9fa186","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","25","143100","0.0-2.0-9.0","63e51f09c02713c63a9fa186","A3","batch1","","2440","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","26","159280","0.0-2.0-10.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","","15177","tol_tohand","","","","tol_peg_1","15177","15177","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","162038","0.0-2.0-10.0-1.0","63e51f09c02713c63a9fa186","A3","batch1","","2757","tol_toboard","","","","tol_peg_3","2757","2757","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","163031","0.0-2.0-10.1-0.1","63e51f09c02713c63a9fa186","A3","batch1","","991","tol_tohand","","","","tol_peg_2","991","991","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","163951","0.0-2.0-10.1-1.1","63e51f09c02713c63a9fa186","A3","batch1","","919","tol_toboard","","","","tol_peg_1","919","919","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","30","166082","0.0-2.0-10.2-0.2","63e51f09c02713c63a9fa186","A3","batch1","","2129","tol_tohand","","","","tol_peg_3","2129","2129","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","31","166728","0.0-2.0-10.2-1.2","63e51f09c02713c63a9fa186","A3","batch1","","646","tol_toboard","","","","tol_peg_2","646","646","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","32","167731","0.0-2.0-11.0","63e51f09c02713c63a9fa186","A3","batch1","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","15177","18297","","","","","","","","","",""
"","","","","","html-button-response","33","168785","0.0-2.0-12.0","63e51f09c02713c63a9fa186","A3","batch1","","1052.5","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","34","189302","0.0-2.0-13.0-0.0","63e51f09c02713c63a9fa186","A3","batch1","","20516","tol_tohand","","","","tol_peg_1","20516","20516","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","190077","0.0-2.0-13.0-1.0","63e51f09c02713c63a9fa186","A3","batch1","","774","tol_toboard","","","","tol_peg_2","774","774","0","[[1,0,0],[3,2],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","193403","0.0-2.0-13.1-0.1","63e51f09c02713c63a9fa186","A3","batch1","","3325","tol_tohand","","","","tol_peg_1","3325","3325","0","[[0,0,0],[3,2],[0]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
