"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1590","0.0-0.0","63e52a02b954da8b899fa1a7","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7660","0.0-1.0-0.0","63e52a02b954da8b899fa1a7","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16371","0.0-2.0-0.0","63e52a02b954da8b899fa1a7","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","29015","0.0-2.0-1.0-0.0","63e52a02b954da8b899fa1a7","F1","batch6","[{""page_index"":0,""viewing_time"":7781.5},{""page_index"":1,""viewing_time"":4860.29999999702}]","12642.40000000596","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","30113","0.0-2.0-1.0-1.0-0.0","63e52a02b954da8b899fa1a7","F1","batch6","","1095.9000000059605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","32891","0.0-2.0-1.0-1.0-1.0","63e52a02b954da8b899fa1a7","F1","batch6","","2776.4000000059605","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","33832","0.0-2.0-1.0-1.0-2.0","63e52a02b954da8b899fa1a7","F1","batch6","","939.5","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","36931","0.0-2.0-1.0-1.0-3.0","63e52a02b954da8b899fa1a7","F1","batch6","","3097.3999999910593","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","37640","0.0-2.0-1.0-1.0-4.0","63e52a02b954da8b899fa1a7","F1","batch6","","707.1999999880791","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","38778","0.0-2.0-2.0","63e52a02b954da8b899fa1a7","F1","batch6","","1135.7999999970198","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
