"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","15854","0.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","28941","0.0-1.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","31734","0.0-2.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","84520","0.0-2.0-1.0-0.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","[{""page_index"":0,""viewing_time"":12494.300000071526},{""page_index"":1,""viewing_time"":6306},{""page_index"":2,""viewing_time"":4825.599999904633},{""page_index"":3,""viewing_time"":9484.200000047684},{""page_index"":4,""viewing_time"":5486.200000047684},{""page_index"":5,""viewing_time"":10302.099999904633},{""page_index"":6,""viewing_time"":3884.8000000715256}]","52783.39999997616","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","85355","0.0-2.0-1.0-1.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","834.4000000953674","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","88574","0.0-2.0-1.0-1.0-1.0","63e96e05231079b3bcec58a7","F1","batch6","","3218","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","89581","0.0-2.0-1.0-1.0-2.0","63e96e05231079b3bcec58a7","F1","batch6","","1005.7999999523163","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","92713","0.0-2.0-1.0-1.0-3.0","63e96e05231079b3bcec58a7","F1","batch6","","3132.2999999523163","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","93280","0.0-2.0-1.0-1.0-4.0","63e96e05231079b3bcec58a7","F1","batch6","","566.3999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","94579","0.0-2.0-2.0","63e96e05231079b3bcec58a7","F1","batch6","","1297.1000000238419","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","98985","0.0-2.0-3.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","4405","tol_practice","","","","tol_peg_2","4405","4405","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4405","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","100941","0.0-2.0-3.0-1.0","63e96e05231079b3bcec58a7","F1","batch6","","1955","tol_practice","","","","tol_peg_3","1955","1955","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1955","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","101942","0.0-2.0-4.0","63e96e05231079b3bcec58a7","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","106612","0.0-2.0-5.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","4669","tol_practice","","","","tol_peg_1","4669","4669","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4669","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","107415","0.0-2.0-5.0-1.0","63e96e05231079b3bcec58a7","F1","batch6","","802","tol_practice","","","","tol_peg_3","802","802","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","802","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","108295","0.0-2.0-5.1-0.1","63e96e05231079b3bcec58a7","F1","batch6","","880","tol_practice","","","","tol_peg_1","880","880","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","880","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","108904","0.0-2.0-5.1-1.1","63e96e05231079b3bcec58a7","F1","batch6","","607","tol_practice","","","","tol_peg_2","607","607","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","607","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","109905","0.0-2.0-6.0","63e96e05231079b3bcec58a7","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","116663","0.0-2.0-7.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","6758","tol_practice","","","","tol_peg_2","6758","6758","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","6758","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","117447","0.0-2.0-7.0-1.0","63e96e05231079b3bcec58a7","F1","batch6","","783","tol_practice","","","","tol_peg_3","783","783","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","783","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","118122","0.0-2.0-7.1-0.1","63e96e05231079b3bcec58a7","F1","batch6","","674","tol_practice","","","","tol_peg_1","674","674","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","674","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","118729","0.0-2.0-7.1-1.1","63e96e05231079b3bcec58a7","F1","batch6","","605","tol_practice","","","","tol_peg_2","605","605","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","605","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","119739","0.0-2.0-8.0","63e96e05231079b3bcec58a7","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","121928","0.0-2.0-9.0","63e96e05231079b3bcec58a7","F1","batch6","","2188.100000023842","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","134685","0.0-2.0-10.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","11753","tol_tohand","","","","tol_peg_1","11753","11753","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","135504","0.0-2.0-10.0-1.0","63e96e05231079b3bcec58a7","F1","batch6","","818","tol_toboard","","","","tol_peg_3","818","818","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","136420","0.0-2.0-10.1-0.1","63e96e05231079b3bcec58a7","F1","batch6","","915","tol_tohand","","","","tol_peg_2","915","915","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","137080","0.0-2.0-10.1-1.1","63e96e05231079b3bcec58a7","F1","batch6","","660","tol_toboard","","","","tol_peg_1","660","660","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","137889","0.0-2.0-10.2-0.2","63e96e05231079b3bcec58a7","F1","batch6","","809","tol_tohand","","","","tol_peg_3","809","809","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","138473","0.0-2.0-10.2-1.2","63e96e05231079b3bcec58a7","F1","batch6","","584","tol_toboard","","","","tol_peg_2","584","584","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","139483","0.0-2.0-11.0","63e96e05231079b3bcec58a7","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","11753","13477","","","","","","","","","",""
"","","","","","html-button-response","31","140456","0.0-2.0-12.0","63e96e05231079b3bcec58a7","F1","batch6","","972.1999999284744","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","151404","0.0-2.0-13.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","10947","tol_tohand","","","","tol_peg_1","10947","10947","0","[[1,0,0],[3,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","152071","0.0-2.0-13.0-1.0","63e96e05231079b3bcec58a7","F1","batch6","","667","tol_toboard","","","","tol_peg_3","667","667","0","[[1,0,0],[3,0],[2]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","154175","0.0-2.0-13.1-0.1","63e96e05231079b3bcec58a7","F1","batch6","","2104","tol_tohand","","","","tol_peg_1","2104","2104","0","[[0,0,0],[3,0],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","154814","0.0-2.0-13.1-1.1","63e96e05231079b3bcec58a7","F1","batch6","","639","tol_toboard","","","","tol_peg_2","639","639","0","[[0,0,0],[3,1],[2]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","156175","0.0-2.0-13.2-0.2","63e96e05231079b3bcec58a7","F1","batch6","","1361","tol_tohand","","","","tol_peg_3","1361","1361","0","[[0,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","156788","0.0-2.0-13.2-1.2","63e96e05231079b3bcec58a7","F1","batch6","","613","tol_toboard","","","","tol_peg_1","613","613","0","[[2,0,0],[3,1],[0]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","157356","0.0-2.0-13.3-0.3","63e96e05231079b3bcec58a7","F1","batch6","","568","tol_tohand","","","","tol_peg_2","568","568","0","[[2,0,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","157893","0.0-2.0-13.3-1.3","63e96e05231079b3bcec58a7","F1","batch6","","537","tol_toboard","","","","tol_peg_1","537","537","0","[[2,1,0],[3,0],[0]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","158423","0.0-2.0-13.4-0.4","63e96e05231079b3bcec58a7","F1","batch6","","529","tol_tohand","","","","tol_peg_2","529","529","0","[[2,1,0],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","158959","0.0-2.0-13.4-1.4","63e96e05231079b3bcec58a7","F1","batch6","","536","tol_toboard","","","","tol_peg_1","536","536","0","[[2,1,3],[0,0],[0]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","poldrack-single-stim","42","159967","0.0-2.0-14.0","63e96e05231079b3bcec58a7","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","10947","15509","","","","","","","","","",""
"","","","","","html-button-response","43","160872","0.0-2.0-15.0","63e96e05231079b3bcec58a7","F1","batch6","","904.2999999523163","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>3</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","44","168181","0.0-2.0-16.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","7308","tol_tohand","","","","tol_peg_1","7308","7308","0","[[2,0,0],[0,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","45","169109","0.0-2.0-16.0-1.0","63e96e05231079b3bcec58a7","F1","batch6","","928","tol_toboard","","","","tol_peg_2","928","928","0","[[2,0,0],[3,0],[1]]","1","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","46","170601","0.0-2.0-16.1-0.1","63e96e05231079b3bcec58a7","F1","batch6","","1491","tol_tohand","","","","tol_peg_1","1491","1491","0","[[0,0,0],[3,0],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","47","171130","0.0-2.0-16.1-1.1","63e96e05231079b3bcec58a7","F1","batch6","","529","tol_toboard","","","","tol_peg_2","529","529","0","[[0,0,0],[3,2],[1]]","2","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","48","171783","0.0-2.0-16.2-0.2","63e96e05231079b3bcec58a7","F1","batch6","","653","tol_tohand","","","","tol_peg_3","653","653","0","[[0,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","49","172434","0.0-2.0-16.2-1.2","63e96e05231079b3bcec58a7","F1","batch6","","651","tol_toboard","","","","tol_peg_1","651","651","0","[[1,0,0],[3,2],[0]]","3","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","50","172929","0.0-2.0-16.3-0.3","63e96e05231079b3bcec58a7","F1","batch6","","495","tol_tohand","","","","tol_peg_2","495","495","0","[[1,0,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","single-stim-button","51","173374","0.0-2.0-16.3-1.3","63e96e05231079b3bcec58a7","F1","batch6","","445","tol_toboard","","","","tol_peg_1","445","445","0","[[1,2,0],[3,0],[0]]","4","[[1,2,0],[3,0],[0]]","2","0","","","","","","4","","","","","","","","",""
"","","","","","poldrack-single-stim","52","174377","0.0-2.0-17.0","63e96e05231079b3bcec58a7","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","7308","9947","","","","","","","","","",""
"","","","","","html-button-response","53","175259","0.0-2.0-18.0","63e96e05231079b3bcec58a7","F1","batch6","","881.0999999046326","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>4</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","54","180423","0.0-2.0-19.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","5164","tol_tohand","","","","tol_peg_2","5164","5164","0","[[3,0,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","55","180905","0.0-2.0-19.0-1.0","63e96e05231079b3bcec58a7","F1","batch6","","482","tol_toboard","","","","tol_peg_1","482","482","0","[[3,1,0],[2,0],[0]]","1","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","56","181472","0.0-2.0-19.1-0.1","63e96e05231079b3bcec58a7","F1","batch6","","567","tol_tohand","","","","tol_peg_2","567","567","0","[[3,1,0],[0,0],[0]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","57","181969","0.0-2.0-19.1-1.1","63e96e05231079b3bcec58a7","F1","batch6","","497","tol_toboard","","","","tol_peg_3","497","497","0","[[3,1,0],[0,0],[2]]","2","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","58","182644","0.0-2.0-19.2-0.2","63e96e05231079b3bcec58a7","F1","batch6","","675","tol_tohand","","","","tol_peg_1","675","675","0","[[3,0,0],[0,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","59","183106","0.0-2.0-19.2-1.2","63e96e05231079b3bcec58a7","F1","batch6","","462","tol_toboard","","","","tol_peg_2","462","462","0","[[3,0,0],[1,0],[2]]","3","[[3,0,0],[1,0],[2]]","3","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","60","184108","0.0-2.0-20.0","63e96e05231079b3bcec58a7","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","5164","6406","","","","","","","","","",""
"","","","","","html-button-response","61","184888","0.0-2.0-21.0","63e96e05231079b3bcec58a7","F1","batch6","","779.5","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>5</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","62","238515","0.0-2.0-22.0-0.0","63e96e05231079b3bcec58a7","F1","batch6","","53626","tol_tohand","","","","tol_peg_3","53626","53626","0","[[1,0,0],[2,0],[0]]","1","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","63","239194","0.0-2.0-22.0-1.0","63e96e05231079b3bcec58a7","F1","batch6","","679","tol_toboard","","","","tol_peg_1","679","679","0","[[1,3,0],[2,0],[0]]","1","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","64","241043","0.0-2.0-22.1-0.1","63e96e05231079b3bcec58a7","F1","batch6","","1849","tol_tohand","","","","tol_peg_2","1849","1849","0","[[1,3,0],[0,0],[0]]","2","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
"","","","","","single-stim-button","65","243466","0.0-2.0-22.1-1.1","63e96e05231079b3bcec58a7","F1","batch6","","2423","tol_toboard","","","","tol_peg_3","2423","2423","0","[[1,3,0],[0,0],[2]]","2","[[0,0,0],[1,2],[3]]","4","0","","","","","","7","","","","","","","","",""
