"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","5374","0.0-0.0","63ea729bf9951e30282eaae6","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","20314","0.0-1.0-0.0","63ea729bf9951e30282eaae6","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","23780","0.0-2.0-0.0","63ea729bf9951e30282eaae6","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","93487","0.0-2.0-1.0-0.0","63ea729bf9951e30282eaae6","F1","batch6","[{""page_index"":0,""viewing_time"":61435.39999997616},{""page_index"":1,""viewing_time"":8270.700000047684}]","69706.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","95109","0.0-2.0-1.0-1.0-0.0","63ea729bf9951e30282eaae6","F1","batch6","","1620.1000000238419","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","101025","0.0-2.0-1.0-1.0-1.0","63ea729bf9951e30282eaae6","F1","batch6","","5915.399999976158","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","103088","0.0-2.0-1.0-1.0-2.0","63ea729bf9951e30282eaae6","F1","batch6","","2061.1999999284744","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","108339","0.0-2.0-1.0-1.0-3.0","63ea729bf9951e30282eaae6","F1","batch6","","5249.699999928474","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","109411","0.0-2.0-1.0-1.0-4.0","63ea729bf9951e30282eaae6","F1","batch6","","1071.3000000715256","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","111459","0.0-2.0-2.0","63ea729bf9951e30282eaae6","F1","batch6","","2046.3999999761581","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","115512","0.0-2.0-3.0-0.0","63ea729bf9951e30282eaae6","F1","batch6","","4047.7999999523163","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","116532","0.0-2.0-3.0-1.0","63ea729bf9951e30282eaae6","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","118144","0.0-2.0-3.0-0.1","63ea729bf9951e30282eaae6","F1","batch6","","1608","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","119161","0.0-2.0-3.0-1.1","63ea729bf9951e30282eaae6","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","121210","0.0-2.0-3.0-0.2","63ea729bf9951e30282eaae6","F1","batch6","","2046.6999999284744","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","122229","0.0-2.0-3.0-1.2","63ea729bf9951e30282eaae6","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","124244","0.0-2.0-3.0-0.3","63ea729bf9951e30282eaae6","F1","batch6","","2010.8000000715256","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","125260","0.0-2.0-3.0-1.3","63ea729bf9951e30282eaae6","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","126546","0.0-2.0-3.0-0.4","63ea729bf9951e30282eaae6","F1","batch6","","1282.8999999761581","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","127562","0.0-2.0-3.0-1.4","63ea729bf9951e30282eaae6","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","133554","0.0-2.0-4.0","63ea729bf9951e30282eaae6","F1","batch6","","5990.399999976158","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","134361","0.0-2.0-5.0-0.0","63ea729bf9951e30282eaae6","F1","batch6","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
