"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2138","0.0-0.0","63ead665638c8546d8c3a962","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","25386","0.0-1.0-0.0","63ead665638c8546d8c3a962","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","27798","0.0-2.0-0.0","63ead665638c8546d8c3a962","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","50798","0.0-2.0-1.0-0.0","63ead665638c8546d8c3a962","F1","batch6","[{""page_index"":0,""viewing_time"":15774.200000047684},{""page_index"":1,""viewing_time"":7223.600000023842}]","22998.200000047684","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","52382","0.0-2.0-1.0-1.0-0.0","63ead665638c8546d8c3a962","F1","batch6","","1581.6000000238419","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","54382","0.0-2.0-1.0-1.0-1.0","63ead665638c8546d8c3a962","F1","batch6","","1998.7000000476837","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","55454","0.0-2.0-1.0-1.0-2.0","63ead665638c8546d8c3a962","F1","batch6","","1070.2000000476837","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","58770","0.0-2.0-1.0-1.0-3.0","63ead665638c8546d8c3a962","F1","batch6","","3315.7999999523163","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","59433","0.0-2.0-1.0-1.0-4.0","63ead665638c8546d8c3a962","F1","batch6","","662.1000000238419","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","60760","0.0-2.0-2.0","63ead665638c8546d8c3a962","F1","batch6","","1325.2000000476837","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","62521","0.0-2.0-3.0-0.0","63ead665638c8546d8c3a962","F1","batch6","","1756.5999999046326","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","63528","0.0-2.0-3.0-1.0","63ead665638c8546d8c3a962","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","65031","0.0-2.0-3.0-0.1","63ead665638c8546d8c3a962","F1","batch6","","1501.7999999523163","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","66045","0.0-2.0-3.0-1.1","63ead665638c8546d8c3a962","F1","batch6","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","67838","0.0-2.0-3.0-0.2","63ead665638c8546d8c3a962","F1","batch6","","1792.1000000238419","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","68855","0.0-2.0-3.0-1.2","63ead665638c8546d8c3a962","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","70525","0.0-2.0-3.0-0.3","63ead665638c8546d8c3a962","F1","batch6","","1668.0999999046326","stim/prac_no_16_1.png","f","pattern_practice","false","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","71546","0.0-2.0-3.0-1.3","63ead665638c8546d8c3a962","F1","batch6","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","72450","0.0-2.0-3.0-0.4","63ead665638c8546d8c3a962","F1","batch6","","902.6000000238419","stim/prac_yes_18_hor_w1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","73467","0.0-2.0-3.0-1.4","63ead665638c8546d8c3a962","F1","batch6","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","77325","0.0-2.0-4.0","63ead665638c8546d8c3a962","F1","batch6","","3854.899999976158","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 40% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","78128","0.0-2.0-5.0-0.0","63ead665638c8546d8c3a962","F1","batch6","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","79839","0.0-2.0-5.0-1.0","63ead665638c8546d8c3a962","F1","batch6","","1708.7999999523163","stim/no_18_1_b.png","j","pattern_response","true","j","pattern_05","1708.7999999523163","true","1","","","","","","","","","","","","","","","","","","",""
