"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","9596","0.0-0.0","63ed008a1b535769b1262e50","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18400","0.0-1.0-0.0","63ed008a1b535769b1262e50","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","23078","0.0-2.0-0.0","63ed008a1b535769b1262e50","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","48607","0.0-2.0-1.0-0.0","63ed008a1b535769b1262e50","C3","batch3","[{""page_index"":0,""viewing_time"":17480.900000000373},{""page_index"":1,""viewing_time"":8047.699999999255}]","25529","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","51613","0.0-2.0-1.0-1.0-0.0","63ed008a1b535769b1262e50","C3","batch3","","3004.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","55533","0.0-2.0-1.0-1.0-1.0","63ed008a1b535769b1262e50","C3","batch3","","3918.199999999255","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","57751","0.0-2.0-1.0-1.0-2.0","63ed008a1b535769b1262e50","C3","batch3","","2216.699999999255","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","63411","0.0-2.0-1.0-1.0-3.0","63ed008a1b535769b1262e50","C3","batch3","","5658.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","64769","0.0-2.0-1.0-1.0-4.0","63ed008a1b535769b1262e50","C3","batch3","","1356.4000000003725","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","67424","0.0-2.0-2.0","63ed008a1b535769b1262e50","C3","batch3","","2653.5999999996275","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
