"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","12492","0.0-0.0","63f57759284ce2f495e4442d","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","28502","0.0-1.0-0.0","63f57759284ce2f495e4442d","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","32926","0.0-2.0-0.0","63f57759284ce2f495e4442d","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","59978","0.0-2.0-1.0-0.0","63f57759284ce2f495e4442d","C3","batch3","[{""page_index"":0,""viewing_time"":9357.599999904633},{""page_index"":1,""viewing_time"":17693.400000095367}]","27051.199999809265","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","61188","0.0-2.0-1.0-1.0-0.0","63f57759284ce2f495e4442d","C3","batch3","","1208.7999997138977","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","63890","0.0-2.0-1.0-1.0-1.0","63f57759284ce2f495e4442d","C3","batch3","","2700.7000002861023","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","65201","0.0-2.0-1.0-1.0-2.0","63f57759284ce2f495e4442d","C3","batch3","","1310","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","69322","0.0-2.0-1.0-1.0-3.0","63f57759284ce2f495e4442d","C3","batch3","","4120.300000190735","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","70139","0.0-2.0-1.0-1.0-4.0","63f57759284ce2f495e4442d","C3","batch3","","815.9000000953674","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","72137","0.0-2.0-2.0","63f57759284ce2f495e4442d","C3","batch3","","1996.5","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","74864","0.0-2.0-3.0-0.0","63f57759284ce2f495e4442d","C3","batch3","","2722.1000003814697","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","75870","0.0-2.0-3.0-1.0","63f57759284ce2f495e4442d","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","77623","0.0-2.0-3.0-0.1","63f57759284ce2f495e4442d","C3","batch3","","1750.8000001907349","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","78630","0.0-2.0-3.0-1.1","63f57759284ce2f495e4442d","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","80128","0.0-2.0-3.0-0.2","63f57759284ce2f495e4442d","C3","batch3","","1496.5999999046326","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","81134","0.0-2.0-3.0-1.2","63f57759284ce2f495e4442d","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","83285","0.0-2.0-3.0-0.3","63f57759284ce2f495e4442d","C3","batch3","","2149.5999999046326","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","84294","0.0-2.0-3.0-1.3","63f57759284ce2f495e4442d","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","87048","0.0-2.0-3.0-0.4","63f57759284ce2f495e4442d","C3","batch3","","2751.800000190735","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","88054","0.0-2.0-3.0-1.4","63f57759284ce2f495e4442d","C3","batch3","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","93273","0.0-2.0-4.0","63f57759284ce2f495e4442d","C3","batch3","","5217.300000190735","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","94078","0.0-2.0-5.0-0.0","63f57759284ce2f495e4442d","C3","batch3","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
