"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","5305","0.0-0.0","63f795d78dc12fffa0aad1ba","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","46315","0.0-1.0-0.0","63f795d78dc12fffa0aad1ba","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","53348","0.0-2.0-0.0","63f795d78dc12fffa0aad1ba","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","70420","0.0-2.0-1.0-0.0","63f795d78dc12fffa0aad1ba","A3","batch1","[{""page_index"":0,""viewing_time"":10974.5},{""page_index"":1,""viewing_time"":6096}]","17070.89999999851","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","71668","0.0-2.0-1.0-1.0-0.0","63f795d78dc12fffa0aad1ba","A3","batch1","","1246.8999999985099","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","75012","0.0-2.0-1.0-1.0-1.0","63f795d78dc12fffa0aad1ba","A3","batch1","","3343","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","76244","0.0-2.0-1.0-1.0-2.0","63f795d78dc12fffa0aad1ba","A3","batch1","","1230.8999999985099","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","80460","0.0-2.0-1.0-1.0-3.0","63f795d78dc12fffa0aad1ba","A3","batch1","","4215.39999999851","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","81068","0.0-2.0-1.0-1.0-4.0","63f795d78dc12fffa0aad1ba","A3","batch1","","607.1000000014901","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","82700","0.0-2.0-2.0","63f795d78dc12fffa0aad1ba","A3","batch1","","1630.7999999970198","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
