"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","26261","0.0-0.0","63f919b924be75908b13bc1b","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","41067","0.0-1.0-0.0","63f919b924be75908b13bc1b","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","45443","0.0-2.0-0.0","63f919b924be75908b13bc1b","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","64490","0.0-2.0-1.0","63f919b924be75908b13bc1b","D2","batch4","","19046.300000000745","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","65291","0.0-2.0-2.0-0.0","63f919b924be75908b13bc1b","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","72891","0.0-2.0-2.0-1.0","63f919b924be75908b13bc1b","D2","batch4","spm_respsonse","7596.600000000559","img/question_1_1.jpeg","3","mat_01","4","1","1","7596.600000000559","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","73969","0.0-2.0-2.0-0.1","63f919b924be75908b13bc1b","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","76355","0.0-2.0-2.0-1.1","63f919b924be75908b13bc1b","D2","batch4","spm_respsonse","2385.2000000001863","img/question_1_2.jpeg","4","mat_02","5","1","1","2385.2000000001863","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","77422","0.0-2.0-2.0-0.2","63f919b924be75908b13bc1b","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","79315","0.0-2.0-2.0-1.2","63f919b924be75908b13bc1b","D2","batch4","spm_respsonse","1890.5999999996275","img/question_1_3.jpeg","0","mat_03","1","1","1","1890.5999999996275","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","80367","0.0-2.0-2.0-0.3","63f919b924be75908b13bc1b","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","83203","0.0-2.0-2.0-1.3","63f919b924be75908b13bc1b","D2","batch4","spm_respsonse","2835.0999999996275","img/question_1_4.jpeg","1","mat_04","2","1","1","2835.0999999996275","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","84254","0.0-2.0-2.0-0.4","63f919b924be75908b13bc1b","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","86875","0.0-2.0-2.0-1.4","63f919b924be75908b13bc1b","D2","batch4","spm_respsonse","2619.2999999998137","img/question_1_5.jpeg","5","mat_05","6","1","1","2619.2999999998137","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","87941","0.0-2.0-2.0-0.5","63f919b924be75908b13bc1b","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","91099","0.0-2.0-2.0-1.5","63f919b924be75908b13bc1b","D2","batch4","spm_respsonse","3156.7999999998137","img/question_1_6.jpeg","2","mat_06","3","1","1","3156.7999999998137","","","","","","","","","","","","","","","","","","","","",""
