"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1213","0.0-0.0","63fc00a210518ac818a9c529","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","11243","0.0-1.0-0.0","63fc00a210518ac818a9c529","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","14799","0.0-2.0-0.0","63fc00a210518ac818a9c529","A3","batch1","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","26171","0.0-2.0-1.0","63fc00a210518ac818a9c529","A3","batch1","","11369.200000000186","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","26981","0.0-2.0-2.0-0.0","63fc00a210518ac818a9c529","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","39714","0.0-2.0-2.0-1.0","63fc00a210518ac818a9c529","A3","batch1","spm_respsonse","12727.799999999814","img/question_1_1.jpeg","3","mat_01","4","1","1","12727.799999999814","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","40796","0.0-2.0-2.0-0.1","63fc00a210518ac818a9c529","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","45383","0.0-2.0-2.0-1.1","63fc00a210518ac818a9c529","A3","batch1","spm_respsonse","4584","img/question_1_2.jpeg","4","mat_02","5","1","1","4584","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","46446","0.0-2.0-2.0-0.2","63fc00a210518ac818a9c529","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","49586","0.0-2.0-2.0-1.2","63fc00a210518ac818a9c529","A3","batch1","spm_respsonse","3137.399999999441","img/question_1_3.jpeg","0","mat_03","1","1","1","3137.399999999441","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","50651","0.0-2.0-2.0-0.3","63fc00a210518ac818a9c529","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","54481","0.0-2.0-2.0-1.3","63fc00a210518ac818a9c529","A3","batch1","spm_respsonse","3829.7000000001863","img/question_1_4.jpeg","1","mat_04","2","1","1","3829.7000000001863","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","55550","0.0-2.0-2.0-0.4","63fc00a210518ac818a9c529","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","60748","0.0-2.0-2.0-1.4","63fc00a210518ac818a9c529","A3","batch1","spm_respsonse","5196.600000000559","img/question_1_5.jpeg","5","mat_05","6","1","1","5196.600000000559","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","61821","0.0-2.0-2.0-0.5","63fc00a210518ac818a9c529","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","66003","0.0-2.0-2.0-1.5","63fc00a210518ac818a9c529","A3","batch1","spm_respsonse","4180.399999999441","img/question_1_6.jpeg","2","mat_06","3","1","1","4180.399999999441","","","","","","","","","","","","","","","","","","","","",""
