"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","6052","0.0-0.0","63ffb67634be3d959f3ff793","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","15606","0.0-1.0-0.0","63ffb67634be3d959f3ff793","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20329","0.0-2.0-0.0","63ffb67634be3d959f3ff793","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","82940","0.0-2.0-1.0-0.0-0.0","63ffb67634be3d959f3ff793","A3","batch1","[{""page_index"":0,""viewing_time"":18634.100000023842},{""page_index"":1,""viewing_time"":7815.799999952316},{""page_index"":2,""viewing_time"":6906.100000023842},{""page_index"":3,""viewing_time"":8074.199999928474},{""page_index"":4,""viewing_time"":6299.800000071526},{""page_index"":5,""viewing_time"":12612.299999952316},{""page_index"":6,""viewing_time"":2267.600000023842}]","62610.199999928474","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","84040","0.0-2.0-1.0-1.0-0.0","63ffb67634be3d959f3ff793","A3","batch1","","1099.3999999761581","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","87788","0.0-2.0-1.0-1.0-1.0","63ffb67634be3d959f3ff793","A3","batch1","","3746.7000000476837","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","89170","0.0-2.0-1.0-1.0-2.0","63ffb67634be3d959f3ff793","A3","batch1","","1380.9000000953674","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","92068","0.0-2.0-1.0-1.0-3.0","63ffb67634be3d959f3ff793","A3","batch1","","2897.4000000953674","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","93152","0.0-2.0-1.0-1.0-4.0","63ffb67634be3d959f3ff793","A3","batch1","","1083.5","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","94501","0.0-2.0-2.0","63ffb67634be3d959f3ff793","A3","batch1","","1348.1000000238419","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","96899","0.0-2.0-3.0-0.0","63ffb67634be3d959f3ff793","A3","batch1","","2396","tol_practice","","","","tol_peg_2","2396","2396","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2396","","","","","","","","","","","","","","",""
