"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2800","0.0-0.0","6400dbb883a12b7946a0c4b5","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10455","0.0-1.0-0.0","6400dbb883a12b7946a0c4b5","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12887","0.0-2.0-0.0","6400dbb883a12b7946a0c4b5","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","28463","0.0-2.0-1.0-0.0","6400dbb883a12b7946a0c4b5","D2","batch4","[{""page_index"":0,""viewing_time"":6431},{""page_index"":1,""viewing_time"":9144.700000047684}]","15575.800000071526","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","29487","0.0-2.0-1.0-1.0-0.0","6400dbb883a12b7946a0c4b5","D2","batch4","","1023.2999999523163","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","30751","0.0-2.0-1.0-1.0-1.0","6400dbb883a12b7946a0c4b5","D2","batch4","","1263.2000000476837","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","31343","0.0-2.0-1.0-1.0-2.0","6400dbb883a12b7946a0c4b5","D2","batch4","","591.5999999046326","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","34262","0.0-2.0-1.0-1.0-3.0","6400dbb883a12b7946a0c4b5","D2","batch4","","2919","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","34887","0.0-2.0-1.0-1.0-4.0","6400dbb883a12b7946a0c4b5","D2","batch4","","624.3999999761581","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","35110","0.0-2.0-2.0","6400dbb883a12b7946a0c4b5","D2","batch4","","222.10000002384186","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","37641","0.0-2.0-3.0-0.0","6400dbb883a12b7946a0c4b5","D2","batch4","","2529.1999999284744","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","38643","0.0-2.0-3.0-1.0","6400dbb883a12b7946a0c4b5","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","40254","0.0-2.0-3.0-0.1","6400dbb883a12b7946a0c4b5","D2","batch4","","1610.3999999761581","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","41256","0.0-2.0-3.0-1.1","6400dbb883a12b7946a0c4b5","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","42449","0.0-2.0-3.0-0.2","6400dbb883a12b7946a0c4b5","D2","batch4","","1192.7000000476837","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","43451","0.0-2.0-3.0-1.2","6400dbb883a12b7946a0c4b5","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","44428","0.0-2.0-3.0-0.3","6400dbb883a12b7946a0c4b5","D2","batch4","","976.3999999761581","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
