"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1042","0.0-0.0","64135983899b0b3fa3ddfab9","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10044","0.0-1.0-0.0","64135983899b0b3fa3ddfab9","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12790","0.0-2.0-0.0","64135983899b0b3fa3ddfab9","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","45160","0.0-2.0-1.0-0.0-0.0","64135983899b0b3fa3ddfab9","F1","batch6","[{""page_index"":0,""viewing_time"":7984.199999928474},{""page_index"":1,""viewing_time"":3075.9000000953674},{""page_index"":2,""viewing_time"":3404},{""page_index"":3,""viewing_time"":5087.899999976158},{""page_index"":4,""viewing_time"":4621.899999976158},{""page_index"":5,""viewing_time"":6544.700000047684},{""page_index"":6,""viewing_time"":1648.8999999761581}]","32367.799999952316","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","46140","0.0-2.0-1.0-1.0-0.0","64135983899b0b3fa3ddfab9","F1","batch6","","979","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","48020","0.0-2.0-1.0-1.0-1.0","64135983899b0b3fa3ddfab9","F1","batch6","","1878.5","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","49297","0.0-2.0-1.0-1.0-2.0","64135983899b0b3fa3ddfab9","F1","batch6","","1276.2000000476837","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","51948","0.0-2.0-1.0-1.0-3.0","64135983899b0b3fa3ddfab9","F1","batch6","","2649.7000000476837","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","52863","0.0-2.0-1.0-1.0-4.0","64135983899b0b3fa3ddfab9","F1","batch6","","913.6000000238419","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","54631","0.0-2.0-2.0","64135983899b0b3fa3ddfab9","F1","batch6","","1766.7999999523163","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","58071","0.0-2.0-3.0-0.0","64135983899b0b3fa3ddfab9","F1","batch6","","3438","tol_practice","","","","tol_peg_2","3438","3438","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3438","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","59771","0.0-2.0-3.0-1.0","64135983899b0b3fa3ddfab9","F1","batch6","","1699","tol_practice","","","","tol_peg_3","1699","1699","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1699","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","60773","0.0-2.0-4.0","64135983899b0b3fa3ddfab9","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","64086","0.0-2.0-5.0-0.0","64135983899b0b3fa3ddfab9","F1","batch6","","3312","tol_practice","","","","tol_peg_1","3312","3312","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3312","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","66099","0.0-2.0-5.0-1.0","64135983899b0b3fa3ddfab9","F1","batch6","","2012","tol_practice","","","","tol_peg_3","2012","2012","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","2012","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","67116","0.0-2.0-5.1-0.1","64135983899b0b3fa3ddfab9","F1","batch6","","1016","tol_practice","","","","tol_peg_1","1016","1016","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1016","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","67889","0.0-2.0-5.1-1.1","64135983899b0b3fa3ddfab9","F1","batch6","","772","tol_practice","","","","tol_peg_2","772","772","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","772","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","68898","0.0-2.0-6.0","64135983899b0b3fa3ddfab9","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","72270","0.0-2.0-7.0-0.0","64135983899b0b3fa3ddfab9","F1","batch6","","3371","tol_practice","","","","tol_peg_2","3371","3371","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","3371","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","73221","0.0-2.0-7.0-1.0","64135983899b0b3fa3ddfab9","F1","batch6","","950","tol_practice","","","","tol_peg_3","950","950","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","950","","","","","","","","","","","","","","",""
