"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1419","0.0-0.0","64135acfe82a5b0b236d3cb7","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","39004","0.0-1.0-0.0","64135acfe82a5b0b236d3cb7","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","46776","0.0-2.0-0.0","64135acfe82a5b0b236d3cb7","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","80045","0.0-2.0-1.0-0.0","64135acfe82a5b0b236d3cb7","F1","batch6","[{""page_index"":0,""viewing_time"":22094},{""page_index"":1,""viewing_time"":11175}]","33270","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","81321","0.0-2.0-1.0-1.0-0.0","64135acfe82a5b0b236d3cb7","F1","batch6","","1276","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","94076","0.0-2.0-1.0-1.0-1.0","64135acfe82a5b0b236d3cb7","F1","batch6","","12753","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","96029","0.0-2.0-1.0-1.0-2.0","64135acfe82a5b0b236d3cb7","F1","batch6","","1952","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","104572","0.0-2.0-1.0-1.0-3.0","64135acfe82a5b0b236d3cb7","F1","batch6","","8543","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","105298","0.0-2.0-1.0-1.0-4.0","64135acfe82a5b0b236d3cb7","F1","batch6","","725","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","107775","0.0-2.0-2.0","64135acfe82a5b0b236d3cb7","F1","batch6","","2476","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
