"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","6012","0.0-0.0","6413691b3b7c36b2a341bae6","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","23011","0.0-1.0-0.0","6413691b3b7c36b2a341bae6","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","26605","0.0-2.0-0.0","6413691b3b7c36b2a341bae6","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","47028","0.0-2.0-1.0-0.0","6413691b3b7c36b2a341bae6","F1","batch6","[{""page_index"":0,""viewing_time"":9937.60000000894},{""page_index"":1,""viewing_time"":10485}]","20422.90000000596","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","47990","0.0-2.0-1.0-1.0-0.0","6413691b3b7c36b2a341bae6","F1","batch6","","960.7999999970198","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","53516","0.0-2.0-1.0-1.0-1.0","6413691b3b7c36b2a341bae6","F1","batch6","","5526","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","55558","0.0-2.0-1.0-1.0-2.0","6413691b3b7c36b2a341bae6","F1","batch6","","2041.4000000059605","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","60684","0.0-2.0-1.0-1.0-3.0","6413691b3b7c36b2a341bae6","F1","batch6","","5125.79999999702","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","61468","0.0-2.0-1.0-1.0-4.0","6413691b3b7c36b2a341bae6","F1","batch6","","783.1000000089407","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","63716","0.0-2.0-2.0","6413691b3b7c36b2a341bae6","F1","batch6","","2247.3999999910593","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","67720","0.0-2.0-3.0-0.0","6413691b3b7c36b2a341bae6","F1","batch6","","4002.3999999910593","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","68736","0.0-2.0-3.0-1.0","6413691b3b7c36b2a341bae6","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","69699","0.0-2.0-3.0-0.1","6413691b3b7c36b2a341bae6","F1","batch6","","962.6000000089407","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","70726","0.0-2.0-3.0-1.1","6413691b3b7c36b2a341bae6","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
