"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","4782","0.0-0.0","6435f2188202776934eacb5d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","23242","0.0-1.0-0.0","6435f2188202776934eacb5d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29828","0.0-2.0-0.0","6435f2188202776934eacb5d","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","55685","0.0-2.0-1.0-0.0","6435f2188202776934eacb5d","B2","batch2","[{""page_index"":0,""viewing_time"":16931.90000000596},{""page_index"":1,""viewing_time"":8924}]","25856.10000000894","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","57367","0.0-2.0-1.0-1.0-0.0","6435f2188202776934eacb5d","B2","batch2","","1680.5999999940395","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","60698","0.0-2.0-1.0-1.0-1.0","6435f2188202776934eacb5d","B2","batch2","","3329.6000000089407","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","63359","0.0-2.0-1.0-1.0-2.0","6435f2188202776934eacb5d","B2","batch2","","2659.300000011921","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","70265","0.0-2.0-1.0-1.0-3.0","6435f2188202776934eacb5d","B2","batch2","","6904.70000000298","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","71291","0.0-2.0-1.0-1.0-4.0","6435f2188202776934eacb5d","B2","batch2","","1025.0999999940395","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","73095","0.0-2.0-2.0","6435f2188202776934eacb5d","B2","batch2","","1801.9000000059605","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","77031","0.0-2.0-3.0-0.0","6435f2188202776934eacb5d","B2","batch2","","3933.5","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","78046","0.0-2.0-3.0-1.0","6435f2188202776934eacb5d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","81104","0.0-2.0-3.0-0.1","6435f2188202776934eacb5d","B2","batch2","","3057.1000000089407","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","82129","0.0-2.0-3.0-1.1","6435f2188202776934eacb5d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","83630","0.0-2.0-3.0-0.2","6435f2188202776934eacb5d","B2","batch2","","1497.9000000059605","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","84644","0.0-2.0-3.0-1.2","6435f2188202776934eacb5d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","85737","0.0-2.0-3.0-0.3","6435f2188202776934eacb5d","B2","batch2","","1090.1000000089407","stim/prac_no_16_1.png","f","pattern_practice","false","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","86759","0.0-2.0-3.0-1.3","6435f2188202776934eacb5d","B2","batch2","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","91344","0.0-2.0-3.0-0.4","6435f2188202776934eacb5d","B2","batch2","","4583.0999999940395","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","92367","0.0-2.0-3.0-1.4","6435f2188202776934eacb5d","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","98558","0.0-2.0-4.0","6435f2188202776934eacb5d","B2","batch2","","6188.5999999940395","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
