"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","27722","0.0-0.0","643ab9200b81b8a5313adf17","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","46521","0.0-1.0-0.0","643ab9200b81b8a5313adf17","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","50113","0.0-2.0-0.0","643ab9200b81b8a5313adf17","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","70562","0.0-2.0-1.0","643ab9200b81b8a5313adf17","D2","batch4","","20446.399999999907","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","71377","0.0-2.0-2.0-0.0","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","77657","0.0-2.0-2.0-1.0","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","6273.5","img/question_1_1.jpeg","3","mat_01","4","1","1","6273.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","78726","0.0-2.0-2.0-0.1","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","81839","0.0-2.0-2.0-1.1","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","3109.899999999907","img/question_1_2.jpeg","4","mat_02","5","1","1","3109.899999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","82901","0.0-2.0-2.0-0.2","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","86303","0.0-2.0-2.0-1.2","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","3397.899999999907","img/question_1_3.jpeg","0","mat_03","1","1","1","3397.899999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","87366","0.0-2.0-2.0-0.3","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","91134","0.0-2.0-2.0-1.3","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","3765.1999999997206","img/question_1_4.jpeg","1","mat_04","2","1","1","3765.1999999997206","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","92200","0.0-2.0-2.0-0.4","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","96983","0.0-2.0-2.0-1.4","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","4778.199999999721","img/question_1_5.jpeg","5","mat_05","6","1","1","4778.199999999721","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","98047","0.0-2.0-2.0-0.5","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","102674","0.0-2.0-2.0-1.5","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","4623.9000000003725","img/question_1_6.jpeg","2","mat_06","3","1","1","4623.9000000003725","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","103744","0.0-2.0-2.0-0.6","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","112021","0.0-2.0-2.0-1.6","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","8273.600000000093","img/question_1_7.jpeg","5","mat_07","6","1","1","8273.600000000093","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","113084","0.0-2.0-2.0-0.7","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","124287","0.0-2.0-2.0-1.7","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","11200.700000000186","img/question_1_8.jpeg","1","mat_08","2","1","1","11200.700000000186","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","125348","0.0-2.0-2.0-0.8","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","176473","0.0-2.0-2.0-1.8","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","51122","img/question_1_9.jpeg","0","mat_09","1","1","1","51122","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","177538","0.0-2.0-2.0-0.9","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","188375","0.0-2.0-2.0-1.9","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","10835.19999999972","img/question_1_10.jpeg","2","mat_10","3","1","1","10835.19999999972","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","189442","0.0-2.0-2.0-0.10","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","202706","0.0-2.0-2.0-1.10","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","13260.5","img/question_1_11.jpeg","4","mat_11","4","0","0","13260.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","203774","0.0-2.0-2.0-0.11","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","215127","0.0-2.0-2.0-1.11","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","11350.700000000186","img/question_1_12.jpeg","5","mat_12","5","0","0","11350.700000000186","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","216195","0.0-2.0-2.0-0.12","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","219403","0.0-2.0-2.0-1.12","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","3205.7999999998137","img/question_2_1.jpeg","1","mat_13","2","1","1","3205.7999999998137","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","220469","0.0-2.0-2.0-0.13","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","226910","0.0-2.0-2.0-1.13","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","6438.300000000279","img/question_2_2.jpeg","5","mat_14","6","1","1","6438.300000000279","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","227976","0.0-2.0-2.0-0.14","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","231385","0.0-2.0-2.0-1.14","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","3405.4000000003725","img/question_2_3.jpeg","0","mat_15","1","1","1","3405.4000000003725","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","232453","0.0-2.0-2.0-0.15","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","238420","0.0-2.0-2.0-1.15","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","5965.399999999907","img/question_2_4.jpeg","1","mat_16","2","1","1","5965.399999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","239477","0.0-2.0-2.0-0.16","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","244657","0.0-2.0-2.0-1.16","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","5176.800000000279","img/question_2_5.jpeg","0","mat_17","1","1","1","5176.800000000279","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","245725","0.0-2.0-2.0-0.17","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","249447","0.0-2.0-2.0-1.17","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","3718.7999999998137","img/question_2_6.jpeg","2","mat_18","3","1","1","3718.7999999998137","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","250517","0.0-2.0-2.0-0.18","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","257829","0.0-2.0-2.0-1.18","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","7308.800000000279","img/question_2_7.jpeg","4","mat_19","5","1","1","7308.800000000279","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","258892","0.0-2.0-2.0-0.19","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","270016","0.0-2.0-2.0-1.19","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","11122.399999999907","img/question_2_8.jpeg","5","mat_20","6","1","1","11122.399999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","271080","0.0-2.0-2.0-0.20","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","275631","0.0-2.0-2.0-1.20","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","4548.300000000279","img/question_2_9.jpeg","3","mat_21","4","1","1","4548.300000000279","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","276696","0.0-2.0-2.0-0.21","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","283886","0.0-2.0-2.0-1.21","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","7186.799999999814","img/question_2_10.jpeg","2","mat_22","3","1","1","7186.799999999814","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","284956","0.0-2.0-2.0-0.22","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","289446","0.0-2.0-2.0-1.22","643ab9200b81b8a5313adf17","D2","batch4","spm_respsonse","4487.399999999907","img/question_2_11.jpeg","3","mat_23","4","1","1","4487.399999999907","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","290514","0.0-2.0-2.0-0.23","643ab9200b81b8a5313adf17","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
